mc	mn	keysig	timesig	act_dur	mc_offset	breaks	repeats	volta	barline	numbering_offset	dont_count	next
75	75	-3	4/4	1	0							76
76	76	-3	4/4	1	0	page						77
77	77	-3	4/4	1	0		end					1, 78
78	78	-3	4/4	1	0							79
79	79	-3	4/4	1	0							80
80	80	-3	4/4	1	0							81
81	81	-3	4/4	1	0	line						82
82	82	-3	4/4	1	0							83
83	83	-3	4/4	1	0							84
84	84	-3	4/4	1	0							85
85	85	-3	4/4	1	0							86
86	86	-3	4/4	1	0	line						87
87	87	-3	4/4	1	0							88
88	88	-3	4/4	1	0							89
89	89	-3	4/4	1	0							90
90	90	-3	4/4	1	0							91
91	91	-3	4/4	1	0	line						92
92	92	-3	4/4	1	0							93
93	93	-3	4/4	1	0							94
94	94	-3	4/4	1	0	page						95
95	95	-3	4/4	1	0							96
96	96	-3	4/4	1	0							97
97	97	-3	4/4	1	0	line						98
98	98	-3	4/4	1	0							99
99	99	-3	4/4	1	0							100
100	100	-3	4/4	1	0							101
101	101	-3	4/4	1	0	line						102
102	102	-3	4/4	1	0							103
103	103	-3	4/4	1	0							104
104	104	-3	4/4	1	0							105
105	105	-3	4/4	1	0	line						106
106	106	-3	4/4	1	0							107
107	107	-3	4/4	1	0							108
108	108	-3	4/4	1	0							109
109	109	-3	4/4	1	0	page						110
110	110	-3	4/4	1	0							111
111	111	-3	4/4	1	0							112
112	112	-3	4/4	1	0							113
113	113	-3	4/4	1	0	line						114
114	114	-3	4/4	1	0							115
115	115	-3	4/4	1	0							116
116	116	-3	4/4	1	0							117
117	117	-3	4/4	1	0	line						118
118	118	-3	4/4	1	0							119
119	119	-3	4/4	1	0							120
120	120	-3	4/4	1	0							121
121	121	-3	4/4	1	0							122
122	122	-3	4/4	1	0	line						123
123	123	-3	4/4	1	0							124
124	124	-3	4/4	1	0							125
125	125	-3	4/4	1	0							126
126	126	-3	4/4	1	0							127
127	127	-3	4/4	1	0							128
128	128	-3	4/4	1	0	page						129
129	129	-3	4/4	1	0							130
130	130	-3	4/4	1	0							131
131	131	-3	4/4	1	0							132
132	132	-3	4/4	1	0							133
133	133	-3	4/4	1	0	line						134
134	134	-3	4/4	1	0							135
135	135	-3	4/4	1	0							136
136	136	-3	4/4	1	0							137
137	137	-3	4/4	1	0	line						138
138	138	-3	4/4	1	0							139
139	139	-3	4/4	1	0							140
140	140	-3	4/4	1	0							141
141	141	-3	4/4	1	0							142
142	142	-3	4/4	1	0	line						143
143	143	-3	4/4	1	0							144
144	144	-3	4/4	1	0							145
145	145	-3	4/4	1	0							146
146	146	-3	4/4	1	0	page						147
147	147	-3	4/4	1	0							148
148	148	-3	4/4	1	0							149
149	149	-3	4/4	1	0							150
150	150	-3	4/4	1	0							151
151	151	-3	4/4	1	0	line						152
152	152	-3	4/4	1	0							153
153	153	-3	4/4	1	0							154
154	154	-3	4/4	1	0							155
155	155	-3	4/4	1	0							156
156	156	-3	4/4	1	0	line						157
157	157	-3	4/4	1	0							158
158	158	-3	4/4	1	0							159
159	159	-3	4/4	1	0							160
160	160	-3	4/4	1	0	line						161
161	161	-3	4/4	1	0							162
162	162	-3	4/4	1	0							163
163	163	-3	4/4	1	0							164
164	164	-3	4/4	1	0	page						165
165	165	-3	4/4	1	0							166
166	166	-3	4/4	1	0							167
167	167	-3	4/4	1	0							168
168	168	-3	4/4	1	0							169
169	169	-3	4/4	1	0	line						170
170	170	-3	4/4	1	0							171
171	171	-3	4/4	1	0							172
172	172	-3	4/4	1	0							173
173	173	-3	4/4	1	0							174
174	174	-3	4/4	1	0							175
175	175	-3	4/4	1	0	line						176
176	176	-3	4/4	1	0							177
177	177	-3	4/4	1	0							178
178	178	-3	4/4	1	0							179
179	179	-3	4/4	1	0	line						180
180	180	-3	4/4	1	0							181
181	181	-3	4/4	1	0							182
182	182	-3	4/4	1	0	page						183
183	183	-3	4/4	1	0							184
184	184	-3	4/4	1	0							185
185	185	-3	4/4	1	0							186
186	186	-3	4/4	1	0	line						187
187	187	-3	4/4	1	0							188
188	188	-3	4/4	1	0							189
189	189	-3	4/4	1	0							190
190	190	-3	4/4	1	0	line						191
191	191	-3	4/4	1	0							192
192	192	-3	4/4	1	0							193
193	193	-3	4/4	1	0							194
194	194	-3	4/4	1	0	line						195
195	195	-3	4/4	1	0							196
196	196	-3	4/4	1	0							197
197	197	-3	4/4	1	0							198
198	198	-3	4/4	1	0							199
199	199	-3	4/4	1	0	page						200
200	200	-3	4/4	1	0							201
201	201	-3	4/4	1	0							202
202	202	-3	4/4	1	0							203
203	203	-3	4/4	1	0							204
204	204	-3	4/4	1	0							205
205	205	-3	4/4	1	0	line						206
206	206	-3	4/4	1	0							207
207	207	-3	4/4	1	0							208
208	208	-3	4/4	1	0							209
209	209	-3	4/4	1	0							210
210	210	-3	4/4	1	0							211
211	211	-3	4/4	1	0							212
212	212	-3	4/4	1	0	line						213
213	213	-3	4/4	1	0							214
214	214	-3	4/4	1	0							215
215	215	-3	4/4	1	0							216
216	216	-3	4/4	1	0							217
217	217	-3	4/4	1	0							218
218	218	-3	4/4	1	0	line						219
219	219	-3	4/4	1	0							220
220	220	-3	4/4	1	0							221
221	221	-3	4/4	1	0							222
222	222	-3	4/4	1	0	page						223
223	223	-3	4/4	1	0							224
224	224	-3	4/4	1	0							225
225	225	-3	4/4	1	0	line						226
226	226	-3	4/4	1	0							227
227	227	-3	4/4	1	0							228
228	228	-3	4/4	1	0	line						229
229	229	-3	4/4	1	0							230
230	230	-3	4/4	1	0							231
231	231	-3	4/4	1	0	line						232
232	232	-3	4/4	1	0							233
233	233	-3	4/4	1	0							234
234	234	-3	4/4	1	0	page						235
235	235	-3	4/4	1	0							236
236	236	-3	4/4	1	0							237
237	237	-3	4/4	1	0	line						238
238	238	-3	4/4	1	0							239
239	239	-3	4/4	1	0							240
240	240	-3	4/4	1	0	line						241
241	241	-3	4/4	1	0							242
242	242	-3	4/4	1	0							243
243	243	-3	4/4	1	0	line						244
244	244	-3	4/4	1	0							245
245	245	-3	4/4	1	0							246
246	246	-3	4/4	1	0							247
247	247	-3	4/4	1	0	page						248
248	248	-3	4/4	1	0							249
249	249	-3	4/4	1	0							250
250	250	-3	4/4	1	0							251
251	251	-3	4/4	1	0							252
252	252	-3	4/4	1	0	line						253
253	253	-3	4/4	1	0							254
254	254	-3	4/4	1	0							255
255	255	-3	4/4	1	0							256
256	256	-3	4/4	1	0							257
257	257	-3	4/4	1	0	line						258
258	258	-3	4/4	1	0							259
259	259	-3	4/4	1	0							260
260	260	-3	4/4	1	0							261
261	261	-3	4/4	1	0							262
262	262	-3	4/4	1	0	page	end					78, -1
