mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
19	18	19	18a	58	58	1.0	3/4	3/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
20	19	20	19a	59	59	1.0	0	0	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
20	19	20	19a	60	60	2.0	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
20	19	20	19a	62	62	0.5	3/4	3/4	4/4	4	1		viio		Bb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
20	19	20	19a	125/2	125/2	0.5	7/8	7/8	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
21	20	21	20a	63	63	3.0	0	0	3/4	4	1		V.I	V	Bb	V		I		I							M	0	0	0, 4, 1		0	0
22	21	22	21a	66	66	1.0	0	0	3/4	4	1		V65		Bb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	21	22	21a	67	67	0.5	1/4	1/4	3/4	4	1		viio		Bb	V		viio		vii	o						o	0	0	5, 2, -1		5	5
22	21	22	21a	135/2	135/2	0.5	3/8	3/8	3/4	4	1		iv/IV		Bb	V		iv/IV		iv				IV			m	0	0	-2, -5, -1		-2	-2
22	21	22	21a	68	68	0.5	1/2	1/2	3/4	4	1		IV6		Bb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	21	22	21a	137/2	137/2	0.5	5/8	5/8	3/4	4	1		iio6		Bb	V		iio6		ii	o	6					o	0	0	-1, -4, 2		2	-1
23	22	23	22a	69	69	1.0	0	0	3/4	4	1		I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
23	22	23	22a	70	70	1.0	1/4	1/4	3/4	4	1		V43		Bb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
23	22	23	22a	71	71	1.0	1/2	1/2	3/4	4	1		I[I		Bb	V	I	I		I							M	0	0	0, 4, 1		0	0
24	23	24	23a	72	72	1.0	0	0	3/4	4	1		V65		Bb	V	I	V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	23	24	23a	73	73	1.0	1/4	1/4	3/4	4	1		V2/IV		Bb	V	I	V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
24	23	24	23a	74	74	0.5	1/2	1/2	3/4	4	1		IV6		Bb	V	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
24	23	24	23a	149/2	149/2	1.0	5/8	5/8	3/4	4	1		viio		Bb	V	I	viio		vii	o						o	0	0	5, 2, -1		5	5
25	24	25	24a	151/2	151/2	0.5	1/8	1/8	3/4	4	1		I(64)		Bb	V	I	I(64)		I			64				M	0	0	0, -1, 3		0	0
25	24	25	24a	76	76	2.0	1/4	1/4	3/4	4	1		I]		Bb	V	I	I		I							M	0	0	0, 4, 1		0	0
26	25	26	25a	78	78	1.0	0	0	4/4	4	1		I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
26	25	26	25a	79	79	1.0	1/4	1/4	4/4	4	1		vi		Bb	V		vi		vi							m	0	0	3, 0, 4		3	3
26	25	26	25a	80	80	1.0	1/2	1/2	4/4	4	1		IV		Bb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	25	26	25a	81	81	1.0	3/4	3/4	4/4	4	1		ii7		Bb	V		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
27	26	27	26a	82	82	8.0	0	0	4/4	4	1		V7		Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	28	29	28a	90	90	3.0	0	0	4/4	4	1		I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
29	28	29	28a	93	93	0.25	3/4	3/4	4/4	4	1		I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
29	28	29	28a	373/4	373/4	0.25	13/16	13/16	4/4	4	1		I(64)		Bb	V		I(64)		I			64				M	0	0	0, -1, 3		0	0
29	28	29	28a	187/2	187/2	0.25	7/8	7/8	4/4	4	1		I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
29	28	29	28a	375/4	375/4	0.25	15/16	15/16	4/4	4	1		viio		Bb	V		viio		vii	o						o	0	0	5, 2, -1		5	5
30	29	30	29a	94	94	0.25	0	0	4/4	4	1		I64		Bb	V		I64		I		64					M	0	0	1, 0, 4		0	1
30	29	30	29a	377/4	377/4	0.25	1/16	1/16	4/4	4	1		V7		Bb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	29	30	29a	189/2	189/2	0.25	1/8	1/8	4/4	4	1		vi		Bb	V		vi		vi							m	0	0	3, 0, 4		3	3
30	29	30	29a	379/4	379/4	0.25	3/16	3/16	4/4	4	1		viio		Bb	V		viio		vii	o						o	0	0	5, 2, -1		5	5
30	29	30	29a	95	95	0.25	1/4	1/4	4/4	4	1		I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
30	29	30	29a	381/4	381/4	0.75	5/16	5/16	4/4	4	1		viio		Bb	V		viio		vii	o						o	0	0	5, 2, -1		5	5
30	29	30	29a	96	96	0.25	1/2	1/2	4/4	4	1		V2		Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
30	29	30	29a	385/4	385/4	0.25	9/16	9/16	4/4	4	1		I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
30	29	30	29a	193/2	193/2	0.25	5/8	5/8	4/4	4	1		viio6		Bb	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
30	29	30	29a	387/4	387/4	0.25	11/16	11/16	4/4	4	1		I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
30	29	30	29a	97	97	0.5	3/4	3/4	4/4	4	1		viio		Bb	V		viio		vii	o						o	0	0	5, 2, -1		5	5
30	29	30	29a	195/2	195/2	1.5	7/8	7/8	4/4	4	1		I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
31	30	31	30a	99	99	3.0	1/4	1/4	4/4	4	1		V7/IV		Bb	V		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
32	31	32	31a	102	102	1.0	0	0	4/4	4	1		IV[IV6		Bb	V	IV	IV6		IV		6					M	0	0	3, 0, -1		-1	3
32	31	32	31a	103	103	1.0	1/4	1/4	4/4	4	1		vi43		Bb	V	IV	vi43		vi		43					mm7	0	0	4, 1, 3, 0		3	4
32	31	32	31a	104	104	1.0	1/2	1/2	4/4	4	1		V65/IV		Bb	V	IV	V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
32	31	32	31a	105	105	1.0	3/4	3/4	4/4	4	1		V64/IV]		Bb	V	IV	V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
33	32	33	32a	106	106	4.0	0	0	4/4	4	1		V2/IV		Bb	V		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
34	33	34	33a	110	110	4.0	0	0	4/4	4	1		V43/IV		Bb	V		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
35	34	35	34a	114	114	3.0	0	0	4/4	4	1		I.V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
35	34	35	34a	117	117	3.0	3/4	3/4	4/4	4	1		#viio43/ii		Bb	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
36	35	36	35a	120	120	1.5	1/2	1/2	4/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
36	35	36	35a	243/2	243/2	0.5	7/8	7/8	4/4	4	1		ii		Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
37	36	37	36a	122	122	1.0	0	0	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
37	36	37	36a	123	123	0.5	1/4	1/4	4/4	4	1		V43		Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
37	36	37	36a	247/2	247/2	0.5	3/8	3/8	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
37	36	37	36a	124	124	0.5	1/2	1/2	4/4	4	1		V(b64)		Bb	I		V(b64)		V			b64				M	0	0	1, 0, -3		1	1
37	36	37	36a	249/2	249/2	0.5	5/8	5/8	4/4	4	1		V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
37	36	37	36a	125	125	1.0	3/4	3/4	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	37	38	37a	126	126	0.5	0	0	4/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
38	37	38	37a	253/2	253/2	0.5	1/8	1/8	4/4	4	1		V+6		Bb	I		V+6		V	+	6					+	0	0	5, 9, 1		1	5
38	37	38	37a	127	127	0.5	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
38	37	38	37a	255/2	255/2	0.5	3/8	3/8	4/4	4	1		viio6		Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
38	37	38	37a	128	128	0.5	1/2	1/2	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
38	37	38	37a	257/2	257/2	0.5	5/8	5/8	4/4	4	1		V64/IV		Bb	I		V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
38	37	38	37a	129	129	0.5	3/4	3/4	4/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
38	37	38	37a	259/2	259/2	0.5	7/8	7/8	4/4	4	1		V64/IV		Bb	I		V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
39	38	39	38a	130	130	0.5	0	0	4/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
39	38	39	38a	261/2	261/2	0.5	1/8	1/8	4/4	4	1		#viio(+4)/ii		Bb	I		#viio(+4)/ii		#vii	o		+4	ii			o	0	0	7, 4, 1	-1	7	7
39	38	39	38a	131	131	0.5	1/4	1/4	4/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
39	38	39	38a	263/2	263/2	0.5	3/8	3/8	4/4	4	1		viio/V		Bb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
39	38	39	38a	132	132	0.5	1/2	1/2	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
39	38	39	38a	265/2	265/2	0.5	5/8	5/8	4/4	4	1		viio6/V		Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
39	38	39	38a	133	133	0.5	3/4	3/4	4/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
39	38	39	38a	267/2	267/2	0.5	7/8	7/8	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
40	39	40	39a	134	134	0.5	0	0	4/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
40	39	40	39a	269/2	269/2	0.5	1/8	1/8	4/4	4	1		V+6		Bb	I		V+6		V	+	6					+	0	0	5, 9, 1		1	5
40	39	40	39a	135	135	0.5	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
40	39	40	39a	271/2	271/2	0.5	3/8	3/8	4/4	4	1		viio6		Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
40	39	40	39a	136	136	0.5	1/2	1/2	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
40	39	40	39a	273/2	273/2	0.5	5/8	5/8	4/4	4	1		V65/IV		Bb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
40	39	40	39a	137	137	0.5	3/4	3/4	4/4	4	1		IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
40	39	40	39a	275/2	275/2	0.5	7/8	7/8	4/4	4	1		V64/IV		Bb	I		V64/IV		V		64		IV			M	0	0	1, 0, 4		0	1
41	40	41	40a	138	138	0.5	0	0	4/4	4	1		IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
41	40	41	40a	277/2	277/2	0.5	1/8	1/8	4/4	4	1		#viio6/ii		Bb	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
41	40	41	40a	139	139	0.5	1/4	1/4	4/4	4	1		ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
41	40	41	40a	279/2	279/2	0.5	3/8	3/8	4/4	4	1		viio/V		Bb	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
41	40	41	40a	140	140	0.5	1/2	1/2	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
41	40	41	40a	281/2	281/2	0.5	5/8	5/8	4/4	4	1		viio6/V		Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
41	40	41	40a	141	141	1.0	3/4	3/4	4/4	4	1		V65		Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
42	41	42	41a	142	142	1.0	0	0	4/4	4	1		I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
42	41	42	41a	143	143	1.0	1/4	1/4	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
42	41	42	41a	144	144	2.0	1/2	1/2	4/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
43	42	43	42a	146	146	2.0	0	0	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
43	42	43	42a	148	148	2.0	1/2	1/2	4/4	4	1		V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
44	43	44	43a	150	150	2.5	0	0	4/4	4	1		I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
44	43	44	43a	305/2	305/2	1.5	5/8	5/8	4/4	4	1		vi6		Bb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
45	44	45	44a	154	154	0.5	0	0	4/4	4	1		vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
45	44	45	44a	309/2	309/2	1.5	1/8	1/8	4/4	4	1		viio6/V		Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
45	44	45	44a	156	156	2.0	1/2	1/2	4/4	4	1		V7/V		Bb	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
46	45	46	45a	158	158	2.0	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
46	45	46	45a	160	160	2.5	1/2	1/2	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	46	47	46a	325/2	325/2	3.0	1/8	1/8	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
47	46	47	46a	331/2	331/2	0.5	7/8	7/8	4/4	4	1		V/V		Bb	I		V/V		V				V			M	0	0	2, 6, 3		2	2
48	47	48	47a	166	166	2.0	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
48	47	48	47a	168	168	2.5	1/2	1/2	4/4	4	1		V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	48	49	48a	341/2	341/2	3.5	1/8	1/8	4/4	4	1		I6		Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
50	49	50	49a	174	174	4.0	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
51	50	51	50a	178	178	4.0	0	0	4/4	4	1		V65/V		Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
52	51	52	51a	182	182	1.0	0	0	4/4	4	1		V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
52	51	52	51a	183	183	7.0	1/4	1/4	4/4	4	1		@none		Bb	I		@none		@none							m	0	0				
54	53	54	53a	190	190	4.0	0	0	4/4	4	1		bVI.V		Bb	bVI		V		V							M	0	0	1, 5, 2		1	1
55	54	55	54a	194	194	4.0	0	0	4/4	4	1		iii		Bb	bVI		iii		iii							m	0	0	4, 1, 5		4	4
56	55	56	55a	198	198	2.0	0	0	4/4	4	1		I[I		Bb	bVI	I	I		I							M	0	0	0, 4, 1		0	0
56	55	56	55a	200	200	2.0	1/2	1/2	4/4	4	1		viio7/V		Bb	bVI	I	viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
57	56	57	56a	202	202	2.0	0	0	4/4	4	1		V		Bb	bVI	I	V		V							M	0	0	1, 5, 2		1	1
57	56	57	56a	204	204	2.0	1/2	1/2	4/4	4	1		V64		Bb	bVI	I	V64		V		64					M	0	0	2, 1, 5		1	2
58	57	58	57a	206	206	2.5	0	0	4/4	4	1		I6]		Bb	bVI	I	I6		I		6					M	0	0	4, 1, 0		0	4
58	57	58	57a	417/2	417/2	1.5	5/8	5/8	4/4	4	1		V		Bb	bVI		V		V							M	0	0	1, 5, 2		1	1
59	58	59	58a	210	210	4.0	0	0	4/4	4	1		iii		Bb	bVI		iii		iii							m	0	0	4, 1, 5		4	4
60	59	60	59a	214	214	2.0	0	0	4/4	4	1		I[I		Bb	bVI	I	I		I							M	0	0	0, 4, 1		0	0
60	59	60	59a	216	216	2.0	1/2	1/2	4/4	4	1		viio7/V		Bb	bVI	I	viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
61	60	61	60a	218	218	1.0	0	0	4/4	4	1		viio7(4)/V		Bb	bVI	I	viio7(4)/V		vii	o	7	4	V			o7	0	0	6, 5, 0, -3		6	6
61	60	61	60a	219	219	1.0	1/4	1/4	4/4	4	1		viio7/V		Bb	bVI	I	viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
61	60	61	60a	220	220	1.0	1/2	1/2	4/4	4	1		I6]		Bb	bVI	I	I6		I		6					M	0	0	4, 1, 0		0	4
61	60	61	60a	221	221	1.0	3/4	3/4	4/4	4	1		V7/V		Bb	bVI		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
62	61	62	61a	222	222	2.0	0	0	4/4	4	1		viio65		Bb	bVI		viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
62	61	62	61a	224	224	2.0	1/2	1/2	4/4	4	1		I6		Bb	bVI		I6		I		6					M	0	0	4, 1, 0		0	4
63	62	63	62a	226	226	2.0	0	0	4/4	4	1		ii65		Bb	bVI		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
63	62	63	62a	228	228	2.0	1/2	1/2	4/4	4	1		V65/V		Bb	bVI		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
64	63	64	63a	230	230	4.0	0	0	4/4	4	1		V7		Bb	bVI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
