mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
70	70	70	70a	138	138	1.0	0	0	2/4	4	1	v.i		F	v		i	i							m	0	1	0, -3, 1		0	0
70	70	70	70a	139	139	1.0	1/4	1/4	2/4	4	1	i6		F	v		i6	i		6					m	0	1	-3, 1, 0		0	-3
71	71	71	71a	140	140	1.0	0	0	2/4	4	1	bII6		F	v		bII6	bII		6					M	0	1	-1, -4, -5		-5	-1
71	71	71	71a	141	141	1.0	1/4	1/4	2/4	4	1	IV64		F	v		IV64	IV		64					M	0	1	0, -1, 3		-1	0
72	72	72	72a	142	142	1.0	0	0	2/4	4	1	bIII.viio6		F	bIII		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
72	72	72	72a	143	143	1.0	1/4	1/4	2/4	4	1	V7(9)		F	bIII		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
73	73	73	73a	144	144	1.0	0	0	2/4	4	1	V		F	bIII		V	V							M	0	0	1, 5, 2		1	1
73	73	73	73a	145	145	1.0	1/4	1/4	2/4	4	1	V7		F	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
74	74	74	74a	146	146	1.0	0	0	2/4	4	1	I6		F	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
74	74	74	74a	147	147	1.0	1/4	1/4	2/4	4	1	V64		F	bIII		V64	V		64					M	0	0	2, 1, 5		1	2
75	75	75	75a	148	148	1.0	0	0	2/4	4	1	IV		F	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
75	75	75	75a	149	149	1.0	1/4	1/4	2/4	4	1	I		F	bIII		I	I							M	0	0	0, 4, 1		0	0
76	76	76	76a	150	150	1.0	0	0	2/4	4	1	viio7		F	bIII		viio7	vii	o	7					o7	0	0	5, 2, -1, -4		5	5
76	76	76	76a	151	151	0.875	1/4	1/4	2/4	4	1	V6/ii		F	bIII		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
76	76	76	76a	1215/8	1215/8	0.125	15/32	15/32	2/4	4	1	ii		F	bIII		ii	ii							m	0	0	2, -1, 3		2	2
77	77	77	77a	152	152	1.0	0	0	2/4	4	1	V43		F	bIII		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
77	77	77	77a	153	153	0.875	1/4	1/4	2/4	4	1	V65(+4+2)		F	bIII		V65(+4+2)	V		65	+4+2				Mm7	0	0	5, 2, -1, 1	0, 3	1	5
77	77	77	77a	1231/8	1231/8	0.125	15/32	15/32	2/4	4	1	V65		F	bIII		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
78	78	78	78a	154	154	1.0	0	0	2/4	4	1	I		F	bIII		I	I							M	0	0	0, 4, 1		0	0
78	78	78	78a	155	155	1.0	1/4	1/4	2/4	4	1	iv6/ii		F	bIII		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
79	79	79	79a	156	156	1.0	0	0	2/4	4	1	V7/ii		F	bIII		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
79	79	79	79a	157	157	0.875	1/4	1/4	2/4	4	1	I.I[viio64		F	I	I	viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
79	79	79	79a	1263/8	1263/8	0.125	15/32	15/32	2/4	4	1	I]		F	I	I	I	I							M	0	0	0, 4, 1		0	0
80	80	80	80a	158	158	4.0	0	0	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
82	82	82	82a	162	162	1.0	0	0	2/4	4	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
82	82	82	82a	163	163	0.375	1/4	1/4	2/4	4	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
82	82	82	82a	1307/8	1307/8	0.625	11/32	11/32	2/4	4	1	V7/IV		F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
83	83	83	83a	164	164	1.375	0	0	2/4	4	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
83	83	83	83a	1323/8	1323/8	2.125	11/32	11/32	2/4	4	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
84	84	84	84a	335/2	335/2	0.5	3/8	3/8	2/4	4	1	V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
85	85	85	85a	168	168	0.5	0	0	2/4	4	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
85	85	85	85a	337/2	337/2	0.5	1/8	1/8	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
85	85	85	85a	169	169	0.375	1/4	1/4	2/4	4	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
85	85	85	85a	1355/8	1355/8	0.625	11/32	11/32	2/4	4	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
86	86	86	86a	170	170	5.5	0	0	2/4	4	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
88	88	88	88a	351/2	351/2	1.0	3/8	3/8	2/4	4	1	iii64		F	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
89	89	89	89a	353/2	353/2	0.5	1/8	1/8	2/4	4	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
89	89	89	89a	177	177	1.0	1/4	1/4	2/4	4	1	V7/iii		F	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
90	90	90	90a	178	178	0.5	0	0	2/4	4	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
90	90	90	90a	357/2	357/2	0.5	1/8	1/8	2/4	4	1	V/iii		F	I		V/iii	V				iii			M	0	0	5, 9, 6		5	5
90	90	90	90a	179	179	1.0	1/4	1/4	2/4	4	1	V7/vi		F	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
91	91	91	91a	180	180	0.5	0	0	2/4	4	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
91	91	91	91a	361/2	361/2	0.5	1/8	1/8	2/4	4	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
91	91	91	91a	181	181	1.0	1/4	1/4	2/4	4	1	V43/vi		F	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
92	92	92	92a	182	182	0.5	0	0	2/4	4	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
92	92	92	92a	365/2	365/2	0.5	1/8	1/8	2/4	4	1	V43/vi		F	I		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
92	92	92	92a	183	183	1.0	1/4	1/4	2/4	4	1	V6/ii		F	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
93	93	93	93a	184	184	0.5	0	0	2/4	4	1	II.I64		F	II		I64	I		64					M	0	0	1, 0, 4		0	1
93	93	93	93a	369/2	369/2	0.5	1/8	1/8	2/4	4	1	I		F	II		I	I							M	0	0	0, 4, 1		0	0
93	93	93	93a	185	185	0.5	1/4	1/4	2/4	4	1	V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
93	93	93	93a	371/2	371/2	0.5	3/8	3/8	2/4	4	1	V65		F	II		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
94	94	94	94a	186	186	0.5	0	0	2/4	4	1	I		F	II		I	I							M	0	0	0, 4, 1		0	0
94	94	94	94a	373/2	373/2	0.5	1/8	1/8	2/4	4	1	V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	94	94	94a	187	187	1.5	1/4	1/4	2/4	4	1	I		F	II		I	I							M	0	0	0, 4, 1		0	0
95	95	95	95a	377/2	377/2	0.5	1/8	1/8	2/4	4	1	V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
95	95	95	95a	189	189	1.0	1/4	1/4	2/4	4	1	I		F	II		I	I							M	0	0	0, 4, 1		0	0
96	96	96	96a	190	190	0.5	0	0	2/4	4	1	I		F	II		I	I							M	0	0	0, 4, 1		0	0
96	96	96	96a	381/2	381/2	0.5	1/8	1/8	2/4	4	1	V7		F	II		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
96	96	96	96a	191	191	1.0	1/4	1/4	2/4	4	1	I		F	II		I	I							M	0	0	0, 4, 1		0	0
97	97	97	97a	192	192	0.5	0	0	2/4	4	1	V.I		F	V		I	I							M	0	0	0, 4, 1		0	0
97	97	97	97a	385/2	385/2	0.5	1/8	1/8	2/4	4	1	V7(b9)		F	V		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
97	97	97	97a	193	193	1.0	1/4	1/4	2/4	4	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
98	98	98	98a	194	194	0.5	0	0	2/4	4	1	I[I		F	V	I	I	I							M	0	0	0, 4, 1		0	0
98	98	98	98a	389/2	389/2	0.5	1/8	1/8	2/4	4	1	V7		F	V	I	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
98	98	98	98a	195	195	0.5	1/4	1/4	2/4	4	1	I		F	V	I	I	I							M	0	0	0, 4, 1		0	0
98	98	98	98a	391/2	391/2	0.5	3/8	3/8	2/4	4	1	I6		F	V	I	I6	I		6					M	0	0	4, 1, 0		0	4
99	99	99	99a	196	196	0.5	0	0	2/4	4	1	I]		F	V	I	I	I							M	0	0	0, 4, 1		0	0
