mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
22	22	22	22a	108	108	1.0	0	0	4/4	4	1		I6	f	i	I	I6	I		6					M	1	1	4, 1, 0		0	4
22	22	22	22a	109	109	1.0	1/4	1/4	4/4	4	1		IV	f	i	I	IV	IV							M	1	1	-1, 3, 0		-1	-1
22	22	22	22a	110	110	1.0	1/2	1/2	4/4	4	1		I6	f	i	I	I6	I		6					M	1	1	4, 1, 0		0	4
22	22	22	22a	111	111	1.0	3/4	3/4	4/4	4	1		ii	f	i	I	ii	ii							m	1	1	2, -1, 3		2	2
23	23	23	23a	112	112	1.0	0	0	4/4	4	1		I6	f	i	I	I6	I		6					M	1	1	4, 1, 0		0	4
23	23	23	23a	113	113	1.0	1/4	1/4	4/4	4	1		ii65	f	i	I	ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
23	23	23	23a	114	114	2.0	1/2	1/2	4/4	4	1		V7	f	i	I	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	24	24	24a	116	116	2.0	0	0	4/4	4	1		I]	f	i	I	I	I							M	1	1	0, 4, 1		0	0
24	24	24	24a	118	118	2.0	1/2	1/2	4/4	4	1		I64	f	i		I64	I		64					M	1	1	1, 0, 4		0	1
25	25	25	25a	120	120	2.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
25	25	25	25a	122	122	2.0	1/2	1/2	4/4	4	1		V65/IV	f	i		V65/IV	V		65		IV			Mm7	1	1	4, 1, -2, 0		0	4
26	26	26	26a	124	124	2.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
26	26	26	26a	126	126	2.0	1/2	1/2	4/4	4	1		viio6/IV	f	i		viio6/IV	vii	o	6		IV			o	1	1	1, -2, 4		4	1
27	27	27	27a	128	128	2.0	0	0	4/4	4	1		V7/IV	f	i		V7/IV	V		7		IV			Mm7	1	1	0, 4, 1, -2		0	0
27	27	27	27a	130	130	2.0	1/2	1/2	4/4	4	1		viio/IV	f	i		viio/IV	vii	o			IV			o	1	1	4, 1, -2		4	4
28	28	28	28a	132	132	2.0	0	0	4/4	4	1		IV64	f	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
28	28	28	28a	134	134	2.0	1/2	1/2	4/4	4	1		IV	f	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
29	29	29	29a	136	136	2.0	0	0	4/4	4	1		IV64	f	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
29	29	29	29a	138	138	2.0	1/2	1/2	4/4	4	1		IV	f	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
30	30	30	30a	140	140	2.0	0	0	4/4	4	1		ii2(+2)	f	i		ii2(+2)	ii		2	+2				mm7	1	1	0, 2, -1, 3	-3	2	0
30	30	30	30a	142	142	1.0	1/2	1/2	4/4	4	1		ii6(119)	f	i		ii6(119)	ii		6	119				m	1	1	-1, 3, 2	1, -3	2	-1
30	30	30	30a	143	143	1.0	3/4	3/4	4/4	4	1		ii6	f	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
31	31	31	31a	144	144	1.0	0	0	4/4	4	1		ii2(9)	f	i		ii2(9)	ii		2	9				mm7	1	1	0, 2, -1, 3	-3	2	0
31	31	31	31a	145	145	1.0	1/4	1/4	4/4	4	1		ii2	f	i		ii2	ii		2					mm7	1	1	0, 2, -1, 3		2	0
31	31	31	31a	146	146	2.0	1/2	1/2	4/4	4	1		V2	f	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
32	32	32	32a	148	148	2.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
32	32	32	32a	150	150	2.0	1/2	1/2	4/4	4	1		I6	f	i		I6	I		6					M	1	1	4, 1, 0		0	4
33	33	33	33a	152	152	4.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
34	34	34	34a	156	156	4.0	0	0	4/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
35	35	35	35a	160	160	4.0	0	0	4/4	4	1		vi	f	i		vi	vi							m	1	1	-4, -7, -3		-4	-4
36	36	36	36a	164	164	2.0	0	0	4/4	4	1		IV6	f	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
36	36	36	36a	166	166	2.0	1/2	1/2	4/4	4	1		I6	f	i		I6	I		6					M	1	1	4, 1, 0		0	4
37	37	37	37a	168	168	4.0	0	0	4/4	4	1		IV	f	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
38	38	38	38a	172	172	4.0	0	0	4/4	4	1		viio6	f	i		viio6	vii	o	6					o	1	1	-5, -8, -2		-2	-5
39	39	39	39a	176	176	4.0	0	0	4/4	4	1		I\\	f	i		I	I						\\	M	1	1	0, 4, 1		0	0
40	40	40	40a	180	180	2.0	0	0	4/4	4	1		IV6	f	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
40	40	40	40a	182	182	2.0	1/2	1/2	4/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
41	41	41	41a	184	184	1.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
41	41	41	41a	185	185	1.0	1/4	1/4	4/4	4	1		vi6	f	i		vi6	vi		6					m	1	1	-7, -3, -4		-4	-7
41	41	41	41a	186	186	14.0	1/2	1/2	4/4	4	1		V/#iii\\	f	i		V/#iii	V				#iii		\\	M	1	1	5, 9, 6		5	5
45	45	45	45a	200	200	5.0	0	0	4/4	4	1		#III.I[I	f	#III	I	I	I							M	1	0	0, 4, 1		0	0
46	46	46	46a	205	205	1.0	1/4	1/4	4/4	4	1		v6	f	#III	I	v6	v		6					m	1	0	-2, 2, 1		1	-2
46	46	46	46a	206	206	3.0	1/2	1/2	4/4	4	1		viio6	f	#III	I	viio6	vii	o	6					o	1	0	2, -1, 5		5	2
47	47	47	47a	209	209	1.0	1/4	1/4	4/4	4	1		I64	f	#III	I	I64	I		64					M	1	0	1, 0, 4		0	1
47	47	47	47a	210	210	2.0	1/2	1/2	4/4	4	1		IV64	f	#III	I	IV64	IV		64					M	1	0	0, -1, 3		-1	0
48	48	48	48a	212	212	1.0	0	0	4/4	4	1		ii64	f	#III	I	ii64	ii		64					m	1	0	3, 2, -1		2	3
48	48	48	48a	213	213	1.0	1/4	1/4	4/4	4	1		viio6/IV	f	#III	I	viio6/IV	vii	o	6		IV			o	1	0	1, -2, 4		4	1
48	48	48	48a	214	214	2.0	1/2	1/2	4/4	4	1		IV	f	#III	I	IV	IV							M	1	0	-1, 3, 0		-1	-1
49	49	49	49a	216	216	1.0	0	0	4/4	4	1		ii	f	#III	I	ii	ii							m	1	0	2, -1, 3		2	2
49	49	49	49a	217	217	1.0	1/4	1/4	4/4	4	1		I6(+6)	f	#III	I	I6(+6)	I		6	+6				M	1	0	4, 1, 0	3	0	4
49	49	49	49a	218	218	1.0	1/2	1/2	4/4	4	1		IV(+2)	f	#III	I	IV(+2)	IV			+2				M	1	0	-1, 3, 0	1	-1	-1
49	49	49	49a	219	219	2.0	3/4	3/4	4/4	4	1		IV	f	#III	I	IV	IV							M	1	0	-1, 3, 0		-1	-1
50	50	50	50a	221	221	2.0	1/4	1/4	4/4	4	1		V65	f	#III	I	V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
50	50	50	50a	223	223	1.0	3/4	3/4	4/4	4	1		I	f	#III	I	I	I							M	1	0	0, 4, 1		0	0
51	51	51	51a	224	224	1.0	0	0	4/4	4	1		viio6	f	#III	I	viio6	vii	o	6					o	1	0	2, -1, 5		5	2
51	51	51	51a	225	225	1.0	1/4	1/4	4/4	4	1		V7	f	#III	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
51	51	51	51a	226	226	1.0	1/2	1/2	4/4	4	1		ii43	f	#III	I	ii43	ii		43					mm7	1	0	3, 0, 2, -1		2	3
51	51	51	51a	227	227	1.0	3/4	3/4	4/4	4	1		V6]	f	#III	I	V6	V		6					M	1	0	5, 2, 1		1	5
52	52	52	52a	228	228	1.0	0	0	4/4	4	1		V43	f	#III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
52	52	52	52a	229	229	1.0	1/4	1/4	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
52	52	52	52a	230	230	2.0	1/2	1/2	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
53	53	53	53a	232	232	2.0	0	0	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
53	53	53	53a	234	234	4.0	1/2	1/2	4/4	4	1		I64	f	#III		I64	I		64					M	1	0	1, 0, 4		0	1
54	54	54	54a	238	238	2.0	1/2	1/2	4/4	4	1		vi7	f	#III		vi7	vi		7					mm7	1	0	3, 0, 4, 1		3	3
55	55	55	55a	240	240	2.0	0	0	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
55	55	55	55a	242	242	1.0	1/2	1/2	4/4	4	1		I(2)	f	#III		I(2)	I			2				M	1	0	2, 4, 1		0	2
55	55	55	55a	243	243	1.0	3/4	3/4	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
56	56	56	56a	244	244	2.0	0	0	4/4	4	1		V7	f	#III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
56	56	56	56a	246	246	2.0	1/2	1/2	4/4	4	1		V65	f	#III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
57	57	57	57a	248	248	2.0	0	0	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
57	57	57	57a	250	250	4.0	1/2	1/2	4/4	4	1		I64	f	#III		I64	I		64					M	1	0	1, 0, 4		0	1
58	58	58	58a	254	254	4.0	1/2	1/2	4/4	4	1		vi7	f	#III		vi7	vi		7					mm7	1	0	3, 0, 4, 1		3	3
59	59	59	59a	258	258	2.0	1/2	1/2	4/4	4	1		I64	f	#III		I64	I		64					M	1	0	1, 0, 4		0	1
60	60	60	60a	260	260	4.0	0	0	4/4	4	1		V7	f	#III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
61	61	61	61a	264	264	2.0	0	0	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
61	61	61	61a	266	266	4.0	1/2	1/2	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
62	62	62	62a	270	270	2.0	1/2	1/2	4/4	4	1		vi2	f	#III		vi2	vi		2					mm7	1	0	1, 3, 0, 4		3	1
63	63	63	63a	272	272	2.0	0	0	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
63	63	63	63a	274	274	1.0	1/2	1/2	4/4	4	1		I6(+2)	f	#III		I6(+2)	I		6	+2				M	1	0	4, 1, 0	2	0	4
63	63	63	63a	275	275	1.0	3/4	3/4	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
64	64	64	64a	276	276	2.0	0	0	4/4	4	1		V7	f	#III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
64	64	64	64a	278	278	2.0	1/2	1/2	4/4	4	1		V65	f	#III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
65	65	65	65a	280	280	2.0	0	0	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
65	65	65	65a	282	282	2.0	1/2	1/2	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
66	66	66	66a	284	284	2.0	0	0	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
66	66	66	66a	286	286	2.0	1/2	1/2	4/4	4	1		vi2	f	#III		vi2	vi		2					mm7	1	0	1, 3, 0, 4		3	1
67	67	67	67a	288	288	2.0	0	0	4/4	4	1		V7(9)	f	#III		V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
67	67	67	67a	290	290	2.0	1/2	1/2	4/4	4	1		V43(+2)	f	#III		V43(+2)	V		43	+2				Mm7	1	0	2, -1, 1, 5	3	1	2
68	68	68	68a	292	292	2.0	0	0	4/4	4	1		vi7	f	#III		vi7	vi		7					mm7	1	0	3, 0, 4, 1		3	3
68	68	68	68a	294	294	2.0	1/2	1/2	4/4	4	1		I64	f	#III		I64	I		64					M	1	0	1, 0, 4		0	1
69	69	69	69a	296	296	2.0	0	0	4/4	4	1		vi7	f	#III		vi7	vi		7					mm7	1	0	3, 0, 4, 1		3	3
69	69	69	69a	298	298	2.0	1/2	1/2	4/4	4	1		V	f	#III		V	V							M	1	0	1, 5, 2		1	1
70	70	70	70a	300	300	2.0	0	0	4/4	4	1		V(2)	f	#III		V(2)	V			2				M	1	0	3, 5, 2		1	3
70	70	70	70a	302	302	2.0	1/2	1/2	4/4	4	1		V	f	#III		V	V							M	1	0	1, 5, 2		1	1
71	71	71	71a	304	304	2.0	0	0	4/4	4	1		V43(+2)	f	#III		V43(+2)	V		43	+2				Mm7	1	0	2, -1, 1, 5	3	1	2
71	71	71	71a	306	306	2.0	1/2	1/2	4/4	4	1		I64	f	#III		I64	I		64					M	1	0	1, 0, 4		0	1
72	72	72	72a	308	308	2.0	0	0	4/4	4	1		vi	f	#III		vi	vi							m	1	0	3, 0, 4		3	3
72	72	72	72a	310	310	2.0	1/2	1/2	4/4	4	1		I64	f	#III		I64	I		64					M	1	0	1, 0, 4		0	1
73	73	73	73a	312	312	2.0	0	0	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
73	73	73	73a	314	314	2.0	1/2	1/2	4/4	4	1		V6(+6)	f	#III		V6(+6)	V		6	+6				M	1	0	5, 2, 1	4	1	5
74	74	74	74a	316	316	2.0	0	0	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
74	74	74	74a	318	318	2.0	1/2	1/2	4/4	4	1		V43	f	#III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
75	75	75	75a	320	320	2.0	0	0	4/4	4	1		V2(+2)	f	#III		V2(+2)	V		2	+2				Mm7	1	0	-1, 1, 5, 2	3	1	-1
75	75	75	75a	322	322	2.0	1/2	1/2	4/4	4	1		I(+42)	f	#III		I(+42)	I			+42				M	1	0	2, 4, 1	-1	0	2
76	76	76	76a	324	324	2.0	0	0	4/4	4	1		IV	f	#III		IV	IV							M	1	0	-1, 3, 0		-1	-1
76	76	76	76a	326	326	1.0	1/2	1/2	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
76	76	76	76a	327	327	1.0	3/4	3/4	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
77	77	77	77a	328	328	2.0	0	0	4/4	4	1		V7	f	#III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
77	77	77	77a	330	330	2.0	1/2	1/2	4/4	4	1		V43	f	#III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
78	78	78	78a	332	332	2.0	0	0	4/4	4	1		I6	f	#III		I6	I		6					M	1	0	4, 1, 0		0	4
78	78	78	78a	334	334	2.0	1/2	1/2	4/4	4	1		I	f	#III		I	I							M	1	0	0, 4, 1		0	0
79	79	79	79a	336	336	2.0	0	0	4/4	4	1		V(64)	f	#III		V(64)	V			64				M	1	0	1, 0, 4		1	1
79	79	79	79a	338	338	2.0	1/2	1/2	4/4	4	1		V7	f	#III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
80	80	80	80a	340	340	3.0	0	0	4/4	4	1	1	I\\	f	#III		I	I						\\	M	1	0	0, 4, 1		0	0
80	80	80	80a	343	343	3.0	3/4	3/4	4/4	4	1	1	I64	f	#III		I64	I		64					M	1	0	1, 0, 4		0	1
81	81	81	81a	346	346	5.0	1/2	1/2	4/4	4	1	1	#vo7	f	#III		#vo7	#v	o	7					o7	1	0	8, 5, 2, -1		8	8
82	82	82	82a	351	351	1.0	3/4	3/4	4/4	4	1	1	I.I	f	I		I	I							M	1	0	0, 4, 1		0	0
83	83	83	83a	352	352	2.0	0	0	4/4	4	1	1	V	f	I		V	V							M	1	0	1, 5, 2		1	1
83	83	83	83a	354	354	2.0	1/2	1/2	4/4	4	1	1	V6	f	I		V6	V		6					M	1	0	5, 2, 1		1	5
14	14	84	14b	356	76	3.0	0	0	4/4	4	1		V	f	i		V	V							M	1	1	1, 5, 2		1	1
14	14	84	14b	359	79	1.0	3/4	3/4	4/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
15	15	85	15b	360	80	2.0	0	0	4/4	4	1		I(+4)	f	i		I(+4)	I			+4				M	1	1	0, 4, 1	-1	0	0
15	15	85	15b	362	82	4.0	1/2	1/2	4/4	4	1		I64	f	i		I64	I		64					M	1	1	1, 0, 4		0	1
16	16	86	16b	366	86	2.0	1/2	1/2	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
17	17	87	17b	368	88	2.0	0	0	4/4	4	1		I[I6	f	i	I	I6	I		6					M	1	1	4, 1, 0		0	4
17	17	87	17b	370	90	6.0	1/2	1/2	4/4	4	1		viio/IV	f	i	I	viio/IV	vii	o			IV			o	1	1	4, 1, -2		4	4
19	19	89	19b	376	96	2.0	0	0	4/4	4	1		IV(4)	f	i	I	IV(4)	IV			4				M	1	1	-1, -2, 0		-1	-1
19	19	89	19b	378	98	1.0	1/2	1/2	4/4	4	1		IV	f	i	I	IV	IV							M	1	1	-1, 3, 0		-1	-1
19	19	89	19b	379	99	1.0	3/4	3/4	4/4	4	1		V2/IV	f	i	I	V2/IV	V		2		IV			Mm7	1	1	-2, 0, 4, 1		0	-2
20	20	90	20b	380	100	1.0	0	0	4/4	4	1		IV6	f	i	I	IV6	IV		6					M	1	1	3, 0, -1		-1	3
20	20	90	20b	381	101	1.0	1/4	1/4	4/4	4	1		I64	f	i	I	I64	I		64					M	1	1	1, 0, 4		0	1
20	20	90	20b	382	102	2.0	1/2	1/2	4/4	4	1		IV	f	i	I	IV	IV							M	1	1	-1, 3, 0		-1	-1
21	21	91	21b	384	104	4.0	0	0	4/4	4	1		ii	f	i	I	ii	ii							m	1	1	2, -1, 3		2	2
22	22	92	22b	388	108	1.0	0	0	4/4	4	1		I6	f	i	I	I6	I		6					M	1	1	4, 1, 0		0	4
22	22	92	22b	389	109	1.0	1/4	1/4	4/4	4	1		IV	f	i	I	IV	IV							M	1	1	-1, 3, 0		-1	-1
22	22	92	22b	390	110	1.0	1/2	1/2	4/4	4	1		I6	f	i	I	I6	I		6					M	1	1	4, 1, 0		0	4
22	22	92	22b	391	111	1.0	3/4	3/4	4/4	4	1		ii	f	i	I	ii	ii							m	1	1	2, -1, 3		2	2
23	23	93	23b	392	112	1.0	0	0	4/4	4	1		I6	f	i	I	I6	I		6					M	1	1	4, 1, 0		0	4
23	23	93	23b	393	113	1.0	1/4	1/4	4/4	4	1		ii65	f	i	I	ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
23	23	93	23b	394	114	2.0	1/2	1/2	4/4	4	1		V7	f	i	I	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	24	94	24b	396	116	2.0	0	0	4/4	4	1		I]	f	i	I	I	I							M	1	1	0, 4, 1		0	0
24	24	94	24b	398	118	2.0	1/2	1/2	4/4	4	1		I64	f	i		I64	I		64					M	1	1	1, 0, 4		0	1
25	25	95	25b	400	120	2.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
25	25	95	25b	402	122	2.0	1/2	1/2	4/4	4	1		V65/IV	f	i		V65/IV	V		65		IV			Mm7	1	1	4, 1, -2, 0		0	4
26	26	96	26b	404	124	2.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
26	26	96	26b	406	126	2.0	1/2	1/2	4/4	4	1		viio6/IV	f	i		viio6/IV	vii	o	6		IV			o	1	1	1, -2, 4		4	1
27	27	97	27b	408	128	2.0	0	0	4/4	4	1		V7/IV	f	i		V7/IV	V		7		IV			Mm7	1	1	0, 4, 1, -2		0	0
27	27	97	27b	410	130	2.0	1/2	1/2	4/4	4	1		viio/IV	f	i		viio/IV	vii	o			IV			o	1	1	4, 1, -2		4	4
28	28	98	28b	412	132	2.0	0	0	4/4	4	1		IV64	f	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
28	28	98	28b	414	134	2.0	1/2	1/2	4/4	4	1		IV	f	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
29	29	99	29b	416	136	2.0	0	0	4/4	4	1		IV64	f	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
29	29	99	29b	418	138	2.0	1/2	1/2	4/4	4	1		IV	f	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
30	30	100	30b	420	140	2.0	0	0	4/4	4	1		ii2(+2)	f	i		ii2(+2)	ii		2	+2				mm7	1	1	0, 2, -1, 3	-3	2	0
30	30	100	30b	422	142	1.0	1/2	1/2	4/4	4	1		ii6(119)	f	i		ii6(119)	ii		6	119				m	1	1	-1, 3, 2	1, -3	2	-1
30	30	100	30b	423	143	1.0	3/4	3/4	4/4	4	1		ii6	f	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
31	31	101	31b	424	144	1.0	0	0	4/4	4	1		ii2(9)	f	i		ii2(9)	ii		2	9				mm7	1	1	0, 2, -1, 3	-3	2	0
31	31	101	31b	425	145	1.0	1/4	1/4	4/4	4	1		ii2	f	i		ii2	ii		2					mm7	1	1	0, 2, -1, 3		2	0
31	31	101	31b	426	146	2.0	1/2	1/2	4/4	4	1		V2	f	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
32	32	102	32b	428	148	2.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
32	32	102	32b	430	150	2.0	1/2	1/2	4/4	4	1		I6	f	i		I6	I		6					M	1	1	4, 1, 0		0	4
33	33	103	33b	432	152	4.0	0	0	4/4	4	1		I	f	i		I	I							M	1	1	0, 4, 1		0	0
34	34	104	34b	436	156	4.0	0	0	4/4	4	1		V6	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
35	35	105	35b	440	160	4.0	0	0	4/4	4	1		vi	f	i		vi	vi							m	1	1	-4, -7, -3		-4	-4
