mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
186	186	186	186a	539	539	3.0	0	0	3/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
187	187	187	187a	542	542	2.5	0	0	3/4	4	1	I64	Eb	I		I64		I		64					M	0	0	1, 0, 4		0	1
187	187	187	187a	1089/2	1089/2	0.5	5/8	5/8	3/4	4	1	IV.V2	Eb	IV		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
188	188	188	188a	545	545	2.0	0	0	3/4	4	1	I6(9)	Eb	IV		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
188	188	188	188a	547	547	4.0	1/2	1/2	3/4	4	1	I6	Eb	IV		I6		I		6					M	0	0	4, 1, 0		0	4
190	190	190	190a	551	551	2.5	0	0	3/4	4	1	V65	Eb	IV		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
190	190	190	190a	1107/2	1107/2	0.5	5/8	5/8	3/4	4	1	I	Eb	IV		I		I							M	0	0	0, 4, 1		0	0
191	191	191	191a	554	554	2.0	0	0	3/4	4	1	V6	Eb	IV		V6		V		6					M	0	0	5, 2, 1		1	5
191	191	191	191a	556	556	1.0	1/2	1/2	3/4	4	1	V43	Eb	IV		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
192	192	192	192a	557	557	0.5	0	0	3/4	4	1	I(9)	Eb	IV		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
192	192	192	192a	1115/2	1115/2	3.5	1/8	1/8	3/4	4	1	V2/IV	Eb	IV		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
193	193	193	193a	561	561	2.0	1/4	1/4	3/4	4	1	V43/IV	Eb	IV		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
