mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
104	104	128	104a	383/2	311/2	0.5	1/4	1/4	3/8	4	1	V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
105	105	129	105a	192	156	0.5	0	0	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
105	105	129	105a	385/2	313/2	1.0	1/8	1/8	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
106	106	130	106a	387/2	315/2	1.5	0	0	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
107	107	131	107a	195	159	0.5	0	0	3/8	4	1	ii6(9)	G	I		ii6(9)	ii		6	9				m	0	0	-1, 3, 2	4	2	-1
107	107	131	107a	391/2	319/2	1.0	1/8	1/8	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
108	108	132	108a	393/2	321/2	0.75	0	0	3/8	4	1	V(4)	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
108	108	132	108a	789/4	645/4	0.25	3/16	3/16	3/8	4	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
108	108	132	108a	395/2	323/2	0.5	1/4	1/4	3/8	4	1	V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
109	109	133	109a	198	162	1.0	0	0	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
109	109	133	109a	199	163	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
110	110	134	110a	399/2	327/2	1.5	0	0	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
111	111	135	111a	201	165	1.0	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
