mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
6	5	6	5a	14	14	1.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
6	5	6	5a	15	15	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	6	7	6a	16	16	1.0	0	0	3/4	4	1		V2(6)		F	I		V2(6)	V		2	6				Mm7	0	0	-1, 1, 5, 4		1	-1
7	6	7	6a	17	17	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	7	6a	18	18	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
8	7	8	7a	19	19	1.0	0	0	3/4	4	1		vi(4)		F	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3
8	7	8	7a	20	20	1.0	1/4	1/4	3/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
8	7	8	7a	21	21	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
9	8	9	8a	22	22	1.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
9	8	9	8a	23	23	1.0	1/4	1/4	3/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
9	8	9	8a	24	24	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
10	9	10	9a	25	25	2.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
10	9	10	9a	27	27	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	11	10a	28	28	1.0	0	0	3/4	4	1		V2(64)		F	I		V2(64)	V		2	64				Mm7	0	0	-1, 1, 0, 4		1	-1
11	10	11	10a	29	29	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	11	10a	30	30	1.0	1/2	1/2	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	12	11a	31	31	1.0	0	0	3/4	4	1		vi7(4)		F	I		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
12	11	12	11a	32	32	1.0	1/4	1/4	3/4	4	1		vi43		F	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
12	11	12	11a	33	33	1.0	1/2	1/2	3/4	4	1		I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
13	12	13	12a	34	34	1.0	0	0	3/4	4	1		IV(+2)		F	I		IV(+2)	IV			+2				M	0	0	-1, 3, 0	1	-1	-1
13	12	13	12a	35	35	1.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	12	13	12a	36	36	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
14	13	14	13a	37	37	1.0	0	0	3/4	4	1		I(+2)		F	I		I(+2)	I			+2				M	0	0	0, 4, 1	2	0	0
14	13	14	13a	38	38	1.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
14	13	14	13a	39	39	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	15	14a	40	40	1.0	0	0	3/4	4	1		V2(64)		F	I		V2(64)	V		2	64				Mm7	0	0	-1, 1, 0, 4		1	-1
15	14	15	14a	41	41	1.0	1/4	1/4	3/4	4	1		V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	14	15	14a	42	42	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
16	15	16	15a	43	43	1.0	0	0	3/4	4	1		vi7(4)		F	I		vi7(4)	vi		7	4				mm7	0	0	3, 2, 4, 1		3	3
16	15	16	15a	44	44	1.0	1/4	1/4	3/4	4	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
16	15	16	15a	45	45	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
17	16	17	16a	46	46	1.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
17	16	17	16a	47	47	2.0	1/4	1/4	3/4	4	1		V2/IV		F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
18	17	18	17a	49	49	19.0	0	0	3/4	4	1		V2/IV		F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
24	23	24	23a	68	68	3.0	1/4	1/4	3/4	4	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
25	24	25	24a	71	71	2.0	1/4	1/4	3/4	4	1		V[V6		F	I	V	V6	V		6					M	0	0	5, 2, 1		1	5
26	25	26	25a	73	73	2.0	0	0	3/4	4	1		I		F	I	V	I	I							M	0	0	0, 4, 1		0	0
26	25	26	25a	75	75	1.0	1/2	1/2	3/4	4	1		I6		F	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
27	26	27	26a	76	76	1.0	0	0	3/4	4	1		vii%7/V		F	I	V	vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
27	26	27	26a	77	77	1.0	1/4	1/4	3/4	4	1		V(4)		F	I	V	V(4)	V			4				M	0	0	1, 0, 2		1	1
27	26	27	26a	78	78	1.0	1/2	1/2	3/4	4	1		V		F	I	V	V	V							M	0	0	1, 5, 2		1	1
28	27	28	27a	79	79	1.0	0	0	3/4	4	1		vi(4)		F	I	V	vi(4)	vi			4				m	0	0	3, 2, 4		3	3
28	27	28	27a	80	80	1.0	1/4	1/4	3/4	4	1		vi		F	I	V	vi	vi							m	0	0	3, 0, 4		3	3
28	27	28	27a	81	81	1.0	1/2	1/2	3/4	4	1		i64		F	I	V	i64	i		64					m	0	0	1, 0, -3		0	1
29	28	29	28a	82	82	1.0	0	0	3/4	4	1		viio/V		F	I	V	viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
29	28	29	28a	83	83	1.0	1/4	1/4	3/4	4	1		V6/V		F	I	V	V6/V	V		6		V			M	0	0	6, 3, 2		2	6
29	28	29	28a	84	84	1.0	1/2	1/2	3/4	4	1		viio2		F	I	V	viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
30	29	30	29a	85	85	1.0	0	0	3/4	4	1		I(97)		F	I	V	I(97)	I			97				M	0	0	0, 4, 1	2, 5	0	0
30	29	30	29a	86	86	2.0	1/4	1/4	3/4	4	1		I		F	I	V	I	I							M	0	0	0, 4, 1		0	0
31	30	31	30a	88	88	1.0	0	0	3/4	4	1		vii%7/V		F	I	V	vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
31	30	31	30a	89	89	1.0	1/4	1/4	3/4	4	1		V(4)		F	I	V	V(4)	V			4				M	0	0	1, 0, 2		1	1
31	30	31	30a	90	90	1.0	1/2	1/2	3/4	4	1		V		F	I	V	V	V							M	0	0	1, 5, 2		1	1
32	31	32	31a	91	91	1.0	0	0	3/4	4	1		viio7(6)/V		F	I	V	viio7(6)/V	vii	o	7	6	V			o7	0	0	6, 3, 2, -3		6	6
32	31	32	31a	92	92	1.0	1/4	1/4	3/4	4	1		viio7/V		F	I	V	viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
32	31	32	31a	93	93	1.0	1/2	1/2	3/4	4	1		viio6		F	I	V	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
33	32	33	32a	94	94	1.0	0	0	3/4	4	1		I6]\\		F	I	V	I6	I		6				\\	M	0	0	4, 1, 0		0	4
33	32	33	32a	95	95	3.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
34	33	34	33a	98	98	2.0	1/4	1/4	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
35	34	35	34a	100	100	1.0	0	0	3/4	4	1		ii(2)		F	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
35	34	35	34a	101	101	1.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
35	34	35	34a	102	102	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
36	35	36	35a	103	103	1.0	0	0	3/4	4	1		vi6(4)		F	I		vi6(4)	vi		6	4				m	0	0	2, 4, 3		3	2
36	35	36	35a	104	104	1.0	1/4	1/4	3/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
36	35	36	35a	105	105	2.0	1/2	1/2	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
37	36	37	36a	107	107	3.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
38	37	38	37a	110	110	2.0	1/4	1/4	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
39	38	39	38a	112	112	1.0	0	0	3/4	4	1		ii(2)		F	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
39	38	39	38a	113	113	2.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
40	39	40	39a	115	115	1.0	0	0	3/4	4	1		vi6(4)		F	I		vi6(4)	vi		6	4				m	0	0	2, 4, 3		3	2
40	39	40	39a	116	116	1.0	1/4	1/4	3/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
40	39	40	39a	117	117	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
41	40	41	40a	118	118	2.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
41	40	41	40a	120	120	1.0	1/2	1/2	3/4	4	1		V7/IV		F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
42	41	42	41a	121	121	3.0	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	42	43	42a	124	124	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
43	42	43	42a	125	125	1.0	1/4	1/4	3/4	4	1		IV(4)		F	I		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
43	42	43	42a	126	126	1.0	1/2	1/2	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
44	43	44	43a	127	127	2.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
44	43	44	43a	129	129	1.0	1/2	1/2	3/4	4	1		iv6/ii		F	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
45	44	45	44a	130	130	1.0	0	0	3/4	4	1		V/ii		F	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
45	44	45	44a	131	131	1.0	1/4	1/4	3/4	4	1		vii%7		F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
45	44	45	44a	132	132	1.0	1/2	1/2	3/4	4	1		#viio/ii		F	I		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
46	45	46	45a	133	133	1.0	0	0	3/4	4	1		ii(94)		F	I		ii(94)	ii			94				m	0	0	2, 1, 3	4	2	2
46	45	46	45a	134	134	1.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
46	45	46	45a	135	135	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
47	46	47	46a	136	136	1.0	0	0	3/4	4	1		IVM7		F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
47	46	47	46a	137	137	1.0	1/4	1/4	3/4	4	1		ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
47	46	47	46a	138	138	1.0	1/2	1/2	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	47	48	47a	139	139	1.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
48	47	48	47a	140	140	1.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
48	47	48	47a	141	141	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
49	48	49	48a	142	142	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
49	48	49	48a	143	143	2.0	1/4	1/4	3/4	4	1		V43/IV		F	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
50	49	50	49a	145	145	3.0	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
51	50	51	50a	148	148	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
51	50	51	50a	149	149	2.0	1/4	1/4	3/4	4	1		V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
52	51	52	51a	151	151	4.0	0	0	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
53	52	53	52a	155	155	1.0	1/4	1/4	3/4	4	1		#viio43/ii		F	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
53	52	53	52a	156	156	3.0	1/2	1/2	3/4	4	1		ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
54	53	54	53a	159	159	1.0	1/2	1/2	3/4	4	1		V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
55	54	55	54a	160	160	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
55	54	55	54a	161	161	1.0	1/4	1/4	3/4	4	1		V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
55	54	55	54a	162	162	1.0	1/2	1/2	3/4	4	1		V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
56	55	56	55a	163	163	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
56	55	56	55a	164	164	1.0	1/4	1/4	3/4	4	1		V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
56	55	56	55a	165	165	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57	56	57	56a	166	166	1.0	0	0	3/4	4	1		IVM7		F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
57	56	57	56a	167	167	1.0	1/4	1/4	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
57	56	57	56a	168	168	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
58	57	58	57a	169	169	1.0	0	0	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
58	57	58	57a	170	170	2.0	1/4	1/4	3/4	4	1		V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
59	58	59	58a	172	172	1.0	0	0	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
59	58	59	58a	173	173	1.0	1/4	1/4	3/4	4	1		V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
59	58	59	58a	174	174	1.0	1/2	1/2	3/4	4	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
60	59	60	59a	175	175	1.0	0	0	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
60	59	60	59a	176	176	1.0	1/4	1/4	3/4	4	1		IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
60	59	60	59a	177	177	1.0	1/2	1/2	3/4	4	1		viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
61	60	61	60a	178	178	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
61	60	61	60a	179	179	1.0	1/4	1/4	3/4	4	1		V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
61	60	61	60a	180	180	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
62	61	62	61a	181	181	1.0	0	0	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
62	61	62	61a	182	182	1.0	1/4	1/4	3/4	4	1		IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
62	61	62	61a	183	183	1.0	1/2	1/2	3/4	4	1		viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
63	62	63	62a	184	184	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
63	62	63	62a	185	185	1.0	1/4	1/4	3/4	4	1		V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
63	62	63	62a	186	186	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
64	63	64	63a	187	187	1.0	0	0	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
64	63	64	63a	188	188	1.0	1/4	1/4	3/4	4	1		IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
64	63	64	63a	189	189	1.0	1/2	1/2	3/4	4	1		viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
65	64	65	64a	190	190	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
65	64	65	64a	191	191	1.0	1/4	1/4	3/4	4	1		V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
65	64	65	64a	192	192	1.0	1/2	1/2	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
66	65	66	65a	193	193	1.0	0	0	3/4	4	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	65	66	65a	194	194	1.0	1/4	1/4	3/4	4	1		IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
66	65	66	65a	195	195	1.0	1/2	1/2	3/4	4	1		viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
67	66	67	66a	196	196	1.0	0	0	3/4	4	1	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
67	66	67	66a	197	197	2.0	1/4	1/4	3/4	4	1	1	V2/IV		F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
18	17	68	17b	199	49	19.0	0	0	3/4	4	1		V2/IV		F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
24	23	74	23b	218	68	3.0	1/4	1/4	3/4	4	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
25	24	75	24b	221	71	2.0	1/4	1/4	3/4	4	1		V[V6		F	I	V	V6	V		6					M	0	0	5, 2, 1		1	5
26	25	76	25b	223	73	2.0	0	0	3/4	4	1		I		F	I	V	I	I							M	0	0	0, 4, 1		0	0
26	25	76	25b	225	75	1.0	1/2	1/2	3/4	4	1		I6		F	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
27	26	77	26b	226	76	1.0	0	0	3/4	4	1		vii%7/V		F	I	V	vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
27	26	77	26b	227	77	1.0	1/4	1/4	3/4	4	1		V(4)		F	I	V	V(4)	V			4				M	0	0	1, 0, 2		1	1
27	26	77	26b	228	78	1.0	1/2	1/2	3/4	4	1		V		F	I	V	V	V							M	0	0	1, 5, 2		1	1
28	27	78	27b	229	79	1.0	0	0	3/4	4	1		vi(4)		F	I	V	vi(4)	vi			4				m	0	0	3, 2, 4		3	3
28	27	78	27b	230	80	1.0	1/4	1/4	3/4	4	1		vi		F	I	V	vi	vi							m	0	0	3, 0, 4		3	3
28	27	78	27b	231	81	1.0	1/2	1/2	3/4	4	1		i64		F	I	V	i64	i		64					m	0	0	1, 0, -3		0	1
29	28	79	28b	232	82	1.0	0	0	3/4	4	1		viio/V		F	I	V	viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
29	28	79	28b	233	83	1.0	1/4	1/4	3/4	4	1		V6/V		F	I	V	V6/V	V		6		V			M	0	0	6, 3, 2		2	6
29	28	79	28b	234	84	1.0	1/2	1/2	3/4	4	1		viio2		F	I	V	viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
30	29	80	29b	235	85	1.0	0	0	3/4	4	1		I(97)		F	I	V	I(97)	I			97				M	0	0	0, 4, 1	2, 5	0	0
30	29	80	29b	236	86	2.0	1/4	1/4	3/4	4	1		I		F	I	V	I	I							M	0	0	0, 4, 1		0	0
31	30	81	30b	238	88	1.0	0	0	3/4	4	1		vii%7/V		F	I	V	vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
31	30	81	30b	239	89	1.0	1/4	1/4	3/4	4	1		V(4)		F	I	V	V(4)	V			4				M	0	0	1, 0, 2		1	1
31	30	81	30b	240	90	1.0	1/2	1/2	3/4	4	1		V		F	I	V	V	V							M	0	0	1, 5, 2		1	1
32	31	82	31b	241	91	1.0	0	0	3/4	4	1		viio7(6)/V		F	I	V	viio7(6)/V	vii	o	7	6	V			o7	0	0	6, 3, 2, -3		6	6
32	31	82	31b	242	92	1.0	1/4	1/4	3/4	4	1		viio7/V		F	I	V	viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
32	31	82	31b	243	93	1.0	1/2	1/2	3/4	4	1		viio6		F	I	V	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
33	32	83	32b	244	94	1.0	0	0	3/4	4	1		I6]\\		F	I	V	I6	I		6				\\	M	0	0	4, 1, 0		0	4
33	32	83	32b	245	95	3.0	1/4	1/4	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
34	33	84	33b	248	98	2.0	1/4	1/4	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
35	34	85	34b	250	100	1.0	0	0	3/4	4	1		ii(2)		F	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
35	34	85	34b	251	101	1.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
35	34	85	34b	252	102	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
36	35	86	35b	253	103	1.0	0	0	3/4	4	1		vi6(4)		F	I		vi6(4)	vi		6	4				m	0	0	2, 4, 3		3	2
36	35	86	35b	254	104	1.0	1/4	1/4	3/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
36	35	86	35b	255	105	2.0	1/2	1/2	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
37	36	87	36b	257	107	3.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
38	37	88	37b	260	110	2.0	1/4	1/4	3/4	4	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
39	38	89	38b	262	112	1.0	0	0	3/4	4	1		ii(2)		F	I		ii(2)	ii			2				m	0	0	4, -1, 3		2	4
39	38	89	38b	263	113	2.0	1/4	1/4	3/4	4	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
40	39	90	39b	265	115	1.0	0	0	3/4	4	1		vi6(4)		F	I		vi6(4)	vi		6	4				m	0	0	2, 4, 3		3	2
40	39	90	39b	266	116	1.0	1/4	1/4	3/4	4	1		vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
40	39	90	39b	267	117	1.0	1/2	1/2	3/4	4	1		V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
41	40	91	40b	268	118	2.0	0	0	3/4	4	1		I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
41	40	91	40b	270	120	1.0	1/2	1/2	3/4	4	1		V7/IV		F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
42	41	92	41b	271	121	3.0	0	0	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	42	93	42b	274	124	1.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
43	42	93	42b	275	125	1.0	1/4	1/4	3/4	4	1		IV(4)		F	I		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
43	42	93	42b	276	126	1.0	1/2	1/2	3/4	4	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
44	43	94	43b	277	127	2.0	0	0	3/4	4	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
44	43	94	43b	279	129	1.0	1/2	1/2	3/4	4	1		iv6/ii		F	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
45	44	95	44b	280	130	1.0	0	0	3/4	4	1		V/ii		F	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
45	44	95	44b	281	131	1.0	1/4	1/4	3/4	4	1		vii%7		F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
45	44	95	44b	282	132	1.0	1/2	1/2	3/4	4	1		#viio/ii		F	I		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
46	45	96	45b	283	133	1.0	0	0	3/4	4	1		ii(94)		F	I		ii(94)	ii			94				m	0	0	2, 1, 3	4	2	2
