mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
27	24	58	24b	103	47	3.5	0	0	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
28	25	59	25b	213/2	101/2	0.5	3/8	3/8	2/4	4	1		#viio6/iii		Eb	I		#viio6/iii		#vii	o	6		iii			o	0	0	6, 3, 9		9	6
29	26	60	26b	107	51	1.5	0	0	2/4	4	1		iii		Eb	I		iii		iii							m	0	0	4, 1, 5		4	4
29	26	60	26b	217/2	105/2	0.5	3/8	3/8	2/4	4	1		V43/vi		Eb	I		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
30	27	61	27b	109	53	1.0	0	0	2/4	4	1		vi.i		Eb	vi		i		i							m	0	1	0, -3, 1		0	0
30	27	61	27b	110	54	0.5	1/4	1/4	2/4	4	1		IV6		Eb	vi		IV6		IV		6					M	0	1	3, 0, -1		-1	3
30	27	61	27b	221/2	109/2	0.5	3/8	3/8	2/4	4	1		Ger6		Eb	vi		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
31	28	62	28b	111	55	1.0	0	0	2/4	4	1		V\\		Eb	vi		V		V						\\	M	0	1	1, 5, 2		1	1
32	28	63	28b	112	56	1.0	0	1/4	2/4	4	1		I.V2/vi		Eb	I		V2/vi		V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
33	29	64	29a	113	57	1.0	0	0	2/4	4	1		V65/ii		Eb	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
33	29	64	29a	114	58	1.0	1/4	1/4	2/4	4	1		V2/V		Eb	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
34	30	65	30a	115	59	1.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
34	30	65	30a	116	60	1.0	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
35	31	66	31a	117	61	1.0	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	0	0	0, 4, 1, 10		10	0
35	31	66	31a	118	62	3.0	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii			M	0	0	5, 9, 6		5	5
37	33	68	33a	121	65	1.0	0	0	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
37	33	68	33a	122	66	0.5	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
37	33	68	33a	245/2	133/2	0.5	3/8	3/8	2/4	4	1		vi6		Eb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
38	34	69	34a	123	67	1.0	0	0	2/4	4	1		V64		Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
38	34	69	34a	124	68	0.5	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
38	34	69	34a	249/2	137/2	0.5	3/8	3/8	2/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
39	35	70	35a	125	69	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	35	70	35a	126	70	0.5	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
39	35	70	35a	253/2	141/2	0.5	3/8	3/8	2/4	4	1		vi6		Eb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
40	36	71	36a	127	71	1.0	0	0	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
40	36	71	36a	128	72	0.5	1/4	1/4	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
40	36	71	36a	257/2	145/2	0.5	3/8	3/8	2/4	4	1		V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
41	37	72	37a	129	73	0.5	0	0	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
41	37	72	37a	259/2	147/2	1.0	1/8	1/8	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
41	37	72	37a	261/2	149/2	0.5	3/8	3/8	2/4	4	1		V2/IV		Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
42	38	73	38a	131	75	0.5	0	0	2/4	4	1		IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
42	38	73	38a	263/2	151/2	0.5	1/8	1/8	2/4	4	1		V2/ii		Eb	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
42	38	73	38a	132	76	0.5	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
42	38	73	38a	265/2	153/2	0.5	3/8	3/8	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
43	39	74	39a	133	77	0.5	0	0	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
43	39	74	39a	267/2	155/2	0.5	1/8	1/8	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
43	39	74	39a	134	78	0.5	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
43	39	74	39a	269/2	157/2	0.5	3/8	3/8	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
44	40	75	40a	135	79	1.0	0	0	2/4	4	1		I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
32	28	76	40a	136	56	1.0	0	1/4	2/4	4	1		I.V2/vi		Eb	I		V2/vi		V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
33	29	77	29b	137	57	1.0	0	0	2/4	4	1		V65/ii		Eb	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
33	29	77	29b	138	58	1.0	1/4	1/4	2/4	4	1		V2/V		Eb	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
34	30	78	30b	139	59	1.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
34	30	78	30b	140	60	1.0	1/4	1/4	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
35	31	79	31b	141	61	1.0	0	0	2/4	4	1		Ger6/iii		Eb	I		Ger6/iii	Ger	vii	o	65	b3	V/iii			Ger	0	0	0, 4, 1, 10		10	0
35	31	79	31b	142	62	3.0	1/4	1/4	2/4	4	1		V/iii		Eb	I		V/iii		V				iii			M	0	0	5, 9, 6		5	5
37	33	81	33b	145	65	1.0	0	0	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
37	33	81	33b	146	66	0.5	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
37	33	81	33b	293/2	133/2	0.5	3/8	3/8	2/4	4	1		vi6		Eb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
38	34	82	34b	147	67	1.0	0	0	2/4	4	1		V64		Eb	I		V64		V		64					M	0	0	2, 1, 5		1	2
38	34	82	34b	148	68	0.5	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
38	34	82	34b	297/2	137/2	0.5	3/8	3/8	2/4	4	1		vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
39	35	83	35b	149	69	1.0	0	0	2/4	4	1		V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	35	83	35b	150	70	0.5	1/4	1/4	2/4	4	1		V6		Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
39	35	83	35b	301/2	141/2	0.5	3/8	3/8	2/4	4	1		vi6		Eb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
40	36	84	36b	151	71	1.0	0	0	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
40	36	84	36b	152	72	0.5	1/4	1/4	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
40	36	84	36b	305/2	145/2	0.5	3/8	3/8	2/4	4	1		V2		Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
41	37	85	37b	153	73	0.5	0	0	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
41	37	85	37b	307/2	147/2	1.0	1/8	1/8	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
41	37	85	37b	309/2	149/2	0.5	3/8	3/8	2/4	4	1		V2/IV		Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
42	38	86	38b	155	75	0.5	0	0	2/4	4	1		IV6		Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
42	38	86	38b	311/2	151/2	0.5	1/8	1/8	2/4	4	1		V2/ii		Eb	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
42	38	86	38b	156	76	0.5	1/4	1/4	2/4	4	1		ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
42	38	86	38b	313/2	153/2	0.5	3/8	3/8	2/4	4	1		I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
43	39	87	39b	157	77	0.5	0	0	2/4	4	1		V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
43	39	87	39b	315/2	155/2	0.5	1/8	1/8	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
43	39	87	39b	158	78	0.5	1/4	1/4	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
43	39	87	39b	317/2	157/2	0.5	3/8	3/8	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
44	40	88	40b	159	79	1.0	0	0	2/4	4	1		I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
45	40	89	40b	160	80	1.0	0	1/4	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
46	41	90	41a	161	81	2.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
47	42	91	42a	163	83	2.0	0	0	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
48	43	92	43a	165	85	2.0	0	0	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
49	44	93	44a	167	87	4.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
51	46	95	46a	171	91	2.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
52	47	96	47a	173	93	2.0	0	0	2/4	4	1		ii6	iv6/vi	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
53	48	97	48a	175	95	1.0	0	0	2/4	4	1		V/vi\\		Eb	I		V/vi		V				vi		\\	M	0	0	4, 8, 5		4	4
45	40	98	48a	176	80	1.0	0	1/4	2/4	4	1		V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
46	41	99	41b	177	81	2.0	0	0	2/4	4	1		I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
47	42	100	42b	179	83	2.0	0	0	2/4	4	1		IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
48	43	101	43b	181	85	2.0	0	0	2/4	4	1		ii		Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
49	44	102	44b	183	87	4.0	0	0	2/4	4	1		V65		Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
