mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
27	26	27	26a	203/2	203/2	2.0	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
27	26	27	26a	207/2	207/2	2.0	1/2	1/2	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	27	28	27a	211/2	211/2	2.0	0	0	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
28	27	28	27a	215/2	215/2	1.0	1/2	1/2	2/2	4	1		i6	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
28	27	28	27a	217/2	217/2	1.0	3/4	3/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
29	28	29	28a	219/2	219/2	2.5	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
29	28	29	28a	112	112	1.5	5/8	5/8	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	29	30	29a	227/2	227/2	2.0	0	0	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
30	29	30	29a	231/2	231/2	1.0	1/2	1/2	2/2	4	1		i6	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
30	29	30	29a	233/2	233/2	1.0	3/4	3/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
31	30	31	30a	235/2	235/2	2.5	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
31	30	31	30a	120	120	1.5	5/8	5/8	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	31	32	31a	243/2	243/2	2.0	0	0	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
32	31	32	31a	247/2	247/2	1.0	1/2	1/2	2/2	4	1		i6	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
32	31	32	31a	249/2	249/2	1.0	3/4	3/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
33	32	33	32a	251/2	251/2	2.5	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
33	32	33	32a	128	128	1.5	5/8	5/8	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	33	34	33a	259/2	259/2	2.0	0	0	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
34	33	34	33a	263/2	263/2	1.0	1/2	1/2	2/2	4	1		i6	A	V		i6	i		6					m	0	0	-3, 1, 0		0	-3
34	33	34	33a	265/2	265/2	1.0	3/4	3/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
35	34	35	34a	267/2	267/2	1.0	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
35	34	35	34a	269/2	269/2	1.0	1/4	1/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
35	34	35	34a	271/2	271/2	1.0	1/2	1/2	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
35	34	35	34a	273/2	273/2	1.0	3/4	3/4	2/2	4	1		i	A	V		i	i							m	0	0	0, -3, 1		0	0
36	35	36	35a	275/2	275/2	4.0	0	0	2/2	4	1		V\\	A	V		V	V						\\	M	0	0	1, 5, 2		1	1
37	36	37	36a	283/2	283/2	4.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
38	37	38	37a	291/2	291/2	4.0	0	0	2/2	4	1		viio7/V	A	V		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
39	38	39	38a	299/2	299/2	4.0	0	0	2/2	4	1		viio43	A	V		viio43	vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
40	39	40	39a	307/2	307/2	4.0	0	0	2/2	4	1		#viio7/iv	A	V		#viio7/iv	#vii	o	7		iv			o7	0	0	4, 1, -2, -5		4	4
41	40	41	40a	315/2	315/2	2.0	0	0	2/2	4	1		viio43/bVII	A	V		viio43/bVII	vii	o	43		bVII			o7	0	0	-3, -6, 3, 0		3	-3
41	40	41	40a	319/2	319/2	2.0	1/2	1/2	2/2	4	1		bVII6	A	V		bVII6	bVII		6					M	0	0	2, -1, -2		-2	2
42	41	42	41a	323/2	323/2	2.0	0	0	2/2	4	1		viio6	A	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
42	41	42	41a	327/2	327/2	2.0	1/2	1/2	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
43	42	43	42a	331/2	331/2	1.0	0	0	2/2	4	1		ii6(2)	A	V		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
43	42	43	42a	333/2	333/2	1.0	1/4	1/4	2/2	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
43	42	43	42a	335/2	335/2	1.0	1/2	1/2	2/2	4	1		V6/V	A	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
43	42	43	42a	337/2	337/2	1.0	3/4	3/4	2/2	4	1		V65/V	A	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
44	43	44	43a	339/2	339/2	1.0	0	0	2/2	4	1		V(4)	A	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
44	43	44	43a	341/2	341/2	3.0	1/4	1/4	2/2	4	1		V\\	A	V		V	V						\\	M	0	0	1, 5, 2		1	1
45	44	45	44a	347/2	347/2	2.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
45	44	45	44a	351/2	351/2	2.0	1/2	1/2	2/2	4	1		vi	A	V		vi	vi							m	0	0	3, 0, 4		3	3
46	45	46	45a	355/2	355/2	2.0	0	0	2/2	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
46	45	46	45a	359/2	359/2	2.0	1/2	1/2	2/2	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
47	46	47	46a	363/2	363/2	2.0	0	0	2/2	4	1		viio	A	V		viio	vii	o						o	0	0	5, 2, -1		5	5
47	46	47	46a	367/2	367/2	2.0	1/2	1/2	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
48	47	48	47a	371/2	371/2	2.0	0	0	2/2	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
48	47	48	47a	375/2	375/2	2.0	1/2	1/2	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
49	48	49	48a	379/2	379/2	2.0	0	0	2/2	4	1		vi	A	V		vi	vi							m	0	0	3, 0, 4		3	3
49	48	49	48a	383/2	383/2	1.0	1/2	1/2	2/2	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
49	48	49	48a	385/2	385/2	1.0	3/4	3/4	2/2	4	1		iv64	A	V		iv64	iv		64					m	0	0	0, -1, -4		-1	0
50	49	50	49a	387/2	387/2	2.0	0	0	2/2	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
50	49	50	49a	391/2	391/2	1.0	1/2	1/2	2/2	4	1		I(9)	A	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
50	49	50	49a	393/2	393/2	1.0	3/4	3/4	2/2	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
51	50	51	50a	395/2	395/2	1.0	0	0	2/2	4	1		ii6(2)	A	V		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
51	50	51	50a	397/2	397/2	1.0	1/4	1/4	2/2	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
51	50	51	50a	399/2	399/2	1.0	1/2	1/2	2/2	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
51	50	51	50a	401/2	401/2	1.0	3/4	3/4	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
52	51	52	51a	403/2	403/2	1.0	0	0	2/2	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
52	51	52	51a	405/2	405/2	3.0	1/4	1/4	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
53	52	53	52a	411/2	411/2	2.0	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
53	52	53	52a	415/2	415/2	1.0	1/2	1/2	2/2	4	1		V7(9)	A	V		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
53	52	53	52a	417/2	417/2	1.0	3/4	3/4	2/2	4	1		vi7	A	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
54	53	54	53a	419/2	419/2	1.0	0	0	2/2	4	1		viio	A	V		viio	vii	o						o	0	0	5, 2, -1		5	5
54	53	54	53a	421/2	421/2	1.0	1/4	1/4	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
54	53	54	53a	423/2	423/2	2.0	1/2	1/2	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
55	54	55	54a	427/2	427/2	2.0	0	0	2/2	4	1		V	A	V		V	V							M	0	0	1, 5, 2		1	1
55	54	55	54a	431/2	431/2	1.0	1/2	1/2	2/2	4	1		V7(9)	A	V		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
55	54	55	54a	433/2	433/2	1.0	3/4	3/4	2/2	4	1		vi7	A	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
56	55	56	55a	435/2	435/2	1.0	0	0	2/2	4	1		viio	A	V		viio	vii	o						o	0	0	5, 2, -1		5	5
56	55	56	55a	437/2	437/2	1.0	1/4	1/4	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
56	55	56	55a	439/2	439/2	1.0	1/2	1/2	2/2	4	1		V7(9)/ii	A	V		V7(9)/ii	V		7	9	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
56	55	56	55a	441/2	441/2	1.0	3/4	3/4	2/2	4	1		vii%7	A	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
57	56	57	56a	443/2	443/2	1.0	0	0	2/2	4	1		#viio/ii	A	V		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
57	56	57	56a	445/2	445/2	1.0	1/4	1/4	2/2	4	1		ii	A	V		ii	ii							m	0	0	2, -1, 3		2	2
57	56	57	56a	447/2	447/2	1.0	1/2	1/2	2/2	4	1		V7(9)/IV	A	V		V7(9)/IV	V		7	9	IV			Mm7	0	0	0, 4, 1, -2	2	0	0
57	56	57	56a	449/2	449/2	1.0	3/4	3/4	2/2	4	1		ii%7	A	V		ii%7	ii	%	7					%7	0	0	2, -1, -4, 0		2	2
58	57	58	57a	451/2	451/2	1.0	0	0	2/2	4	1		viio/IV	A	V		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
58	57	58	57a	453/2	453/2	1.0	1/4	1/4	2/2	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
58	57	58	57a	455/2	455/2	1.0	1/2	1/2	2/2	4	1		I64	A	V		I64	I		64					M	0	0	1, 0, 4		0	1
58	57	58	57a	457/2	457/2	1.0	3/4	3/4	2/2	4	1		IV6	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
59	58	59	58a	459/2	459/2	1.0	0	0	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
59	58	59	58a	461/2	461/2	2.0	1/4	1/4	2/2	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
59	58	59	58a	465/2	465/2	1.0	3/4	3/4	2/2	4	1		V\\	A	V		V	V						\\	M	0	0	1, 5, 2		1	1
60	59	60	59a	467/2	467/2	1.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
60	59	60	59a	469/2	469/2	1.0	1/4	1/4	2/2	4	1		viio	A	V		viio	vii	o						o	0	0	5, 2, -1		5	5
60	59	60	59a	471/2	471/2	1.0	1/2	1/2	2/2	4	1		IV6	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
60	59	60	59a	473/2	473/2	1.0	3/4	3/4	2/2	4	1		I64	A	V		I64	I		64					M	0	0	1, 0, 4		0	1
61	60	61	60a	475/2	475/2	1.0	0	0	2/2	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
61	60	61	60a	477/2	477/2	1.0	1/4	1/4	2/2	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
61	60	61	60a	479/2	479/2	1.0	1/2	1/2	2/2	4	1		V43	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
61	60	61	60a	481/2	481/2	1.0	3/4	3/4	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
62	61	62	61a	483/2	483/2	4.0	0	0	2/2	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
63	62	63	62a	491/2	491/2	1.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
63	62	63	62a	493/2	493/2	1.0	1/4	1/4	2/2	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
63	62	63	62a	495/2	495/2	1.0	1/2	1/2	2/2	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
63	62	63	62a	497/2	497/2	1.0	3/4	3/4	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
64	63	64	63a	499/2	499/2	2.0	0	0	2/2	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
64	63	64	63a	503/2	503/2	1.0	1/2	1/2	2/2	4	1		IV6	A	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
64	63	64	63a	505/2	505/2	1.0	3/4	3/4	2/2	4	1		I64	A	V		I64	I		64					M	0	0	1, 0, 4		0	1
65	64	65	64a	507/2	507/2	1.0	0	0	2/2	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
65	64	65	64a	509/2	509/2	1.0	1/4	1/4	2/2	4	1		I6	A	V		I6	I		6					M	0	0	4, 1, 0		0	4
65	64	65	64a	511/2	511/2	1.0	1/2	1/2	2/2	4	1		V43	A	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
65	64	65	64a	513/2	513/2	1.0	3/4	3/4	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
66	65	66	65a	515/2	515/2	8.0	0	0	2/2	4	1		viio	A	V		viio	vii	o						o	0	0	5, 2, -1		5	5
68	67	68	67a	531/2	531/2	2.0	0	0	2/2	4	1		V7(+2)/vi	A	V		V7(+2)/vi	V		7	+2	vi			Mm7	0	0	4, 8, 5, 2	-1	4	4
68	67	68	67a	535/2	535/2	2.0	1/2	1/2	2/2	4	1		vi	A	V		vi	vi							m	0	0	3, 0, 4		3	3
69	68	69	68a	539/2	539/2	2.0	0	0	2/2	4	1		V7(+2)/V	A	V		V7(+2)/V	V		7	+2	V			Mm7	0	0	2, 6, 3, 0	4	2	2
69	68	69	68a	543/2	543/2	2.0	1/2	1/2	2/2	4	1		v	A	V		v	v							m	0	0	1, -2, 2		1	1
70	69	70	69a	547/2	547/2	2.0	0	0	2/2	4	1		V7(+2)/IV	A	V		V7(+2)/IV	V		7	+2	IV			Mm7	0	0	0, 4, 1, -2	2	0	0
70	69	70	69a	551/2	551/2	2.0	1/2	1/2	2/2	4	1		IV	A	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
71	70	71	70a	555/2	555/2	2.0	0	0	2/2	4	1		V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
71	70	71	70a	559/2	559/2	2.0	1/2	1/2	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
72	71	72	71a	563/2	563/2	4.0	0	0	2/2	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
73	72	73	72a	571/2	571/2	4.0	0	0	2/2	4	1		#viio65/ii	A	V		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
74	73	74	73a	579/2	579/2	4.0	0	0	2/2	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
75	74	75	74a	587/2	587/2	3.0	0	0	2/2	4	1		V7(+9)	A	V		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
75	74	75	74a	593/2	593/2	1.0	3/4	3/4	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
76	75	76	75a	595/2	595/2	4.0	0	0	2/2	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
77	76	77	76a	603/2	603/2	4.0	0	0	2/2	4	1		#viio65/ii	A	V		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
78	77	78	77a	611/2	611/2	4.0	0	0	2/2	4	1		ii6	A	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
79	78	79	78a	619/2	619/2	3.0	0	0	2/2	4	1		V7(+9)	A	V		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
79	78	79	78a	625/2	625/2	1.0	3/4	3/4	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
80	79	80	79a	627/2	627/2	4.0	0	0	2/2	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
81	80	81	80a	635/2	635/2	4.0	0	0	2/2	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
82	81	82	81a	643/2	643/2	4.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
83	82	83	82a	651/2	651/2	4.0	0	0	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
84	83	84	83a	659/2	659/2	4.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
85	84	85	84a	667/2	667/2	4.0	0	0	2/2	4	1		V65	A	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
86	85	86	85a	675/2	675/2	4.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
87	86	87	86a	683/2	683/2	4.0	0	0	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
88	87	88	87a	691/2	691/2	4.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
89	88	89	88a	699/2	699/2	4.0	0	0	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
90	89	90	89a	707/2	707/2	4.0	0	0	2/2	4	1		I	A	V		I	I							M	0	0	0, 4, 1		0	0
91	90	91	90a	715/2	715/2	4.0	0	0	2/2	4	1		V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
92	91	92	91a	723/2	723/2	4.0	0	0	2/2	4	1		I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
93	92	93	92a	731/2	731/2	4.0	0	0	2/2	4	1		I.V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	93	94	93a	739/2	739/2	6.5	0	0	2/2	4	1	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
1	0	96	94a	376	0	1.5	0	5/8	2/2	4	1		A.V	A	I		V	V							M	0	0	1, 5, 2		1	1
2	1	97	1b	755/2	3/2	2.0	0	0	2/2	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
2	1	97	1b	759/2	7/2	4.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	2	98	2b	767/2	15/2	1.0	1/2	1/2	2/2	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	98	2b	769/2	17/2	1.0	3/4	3/4	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
4	3	99	3b	771/2	19/2	2.0	0	0	2/2	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	99	3b	775/2	23/2	2.0	1/2	1/2	2/2	4	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
