"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".bIV.I"	""	69	1.0	"D"	"bIV"	""	"I"	""	""	""	""	false
"vi"	""	70	1.0	"D"	"bIV"	""	"vi"	""	""	""	""	false
"vi2"	""	70	2.0	"D"	"bIV"	""	"vi"	""	"2"	""	""	false
"IV"	""	71	1.0	"D"	"bIV"	""	"IV"	""	""	""	""	false
"#ivo2"	""	71	2.0	"D"	"bIV"	""	"#iv"	"o"	"2"	""	""	false
"V65/iii"	""	72	1.0	"D"	"bIV"	""	"V"	""	"65"	""	"iii"	false
"iii"	""	72	2.0	"D"	"bIV"	""	"iii"	""	""	""	""	false
".bIII.I"	""	73	1.0	"D"	"bIII"	""	"I"	""	""	""	""	false
".I.vii"	""	74	1.0	"D"	"I"	""	"vii"	""	""	""	""	false
"vii2"	""	74	2.0	"D"	"I"	""	"vii"	""	"2"	""	""	false
"viio43"	""	75	1.0	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"V7"	""	75	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"viio2"	""	77	1.0	"D"	"I"	""	"vii"	"o"	"2"	""	""	false
"V"	""	78	2.5	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	79	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V2/iv"	""	80	1.0	"D"	"I"	""	"V"	""	"2"	""	"iv"	false
"iv6"	""	80	1.75	"D"	"I"	""	"iv"	""	"6"	""	""	false
"V2/iv"	""	80	2.0	"D"	"I"	""	"V"	""	"2"	""	"iv"	false
"iv"	""	81	1.0	"D"	"I"	""	"iv"	""	""	""	""	false
"#viio2/vi"	""	81	1.5	"D"	"I"	""	"#vii"	"o"	"2"	""	"vi"	false
"viio7/iv"	""	81	1.75	"D"	"I"	""	"vii"	"o"	"7"	""	"iv"	false
"iv"	""	81	2.0	"D"	"I"	""	"iv"	""	""	""	""	false
"V7"	""	81	2.25	"D"	"I"	""	"V"	""	"7"	""	""	false
"iv"	""	81	2.5	"D"	"I"	""	"iv"	""	""	""	""	false
"ii2"	""	81	2.75	"D"	"I"	""	"ii"	""	"2"	""	""	false
"V6(2)"	""	82	1.0	"D"	"I"	""	"V"	""	"6"	"2"	""	false
"V6"	""	82	1.25	"D"	"I"	""	"V"	""	"6"	""	""	false
"V7/V"	""	82	2.0	"D"	"I"	""	"V"	""	"7"	""	"V"	false
"V65"	""	83	1.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"viio43"	""	83	2.5	"D"	"I"	""	"vii"	"o"	"43"	""	""	false
"V6"	""	84	2.0	"D"	"I"	""	"V"	""	"6"	""	""	false
".bIII64"	""	84	2.5	"D"	"I"	""	"bIII"	""	"64"	""	""	false
"vii7/V"	""	85	1.0	"D"	"I"	""	"vii"	""	"7"	""	"V"	false
"V64/V"	""	85	2.0	"D"	"I"	""	"V"	""	"64"	""	"V"	false
"V64"	""	85	2.5	"D"	"I"	""	"V"	""	"64"	""	""	false
"#io7"	""	86	1.0	"D"	"I"	""	"#i"	"o"	"7"	""	""	false
"#ivo43(4)"	""	86	2.0	"D"	"I"	""	"#iv"	"o"	"43"	"4"	""	false
"#ivo43"	""	86	2.5	"D"	"I"	""	"#iv"	"o"	"43"	""	""	false
"vii7"	""	87	1.0	"D"	"I"	""	"vii"	""	"7"	""	""	false
".v.i6"	""	87	1.5	"D"	"v"	""	"i"	""	"6"	""	""	false
"V7"	""	87	2.5	"D"	"v"	""	"V"	""	"7"	""	""	false
"i"	""	88	1.0	"D"	"v"	""	"i"	""	""	""	""	false
".bIIM7"	""	88	2.5	"D"	"v"	""	"bII"	"M"	"7"	""	""	false
"ii%7"	""	89	1.0	"D"	"v"	""	"ii"	"%"	"7"	""	""	false
"#viio6"	""	89	2.0	"D"	"v"	""	"#vii"	"o"	"6"	""	""	false
"#viio43"	""	89	2.5	"D"	"v"	""	"#vii"	"o"	"43"	""	""	false
"I(4)"	""	90	1.0	"D"	"v"	""	"I"	""	""	"4"	""	false
"I"	""	90	1.5	"D"	"v"	""	"I"	""	""	""	""	false
".I.V6/V"	""	90	2.5	"D"	"I"	""	"V"	""	"6"	""	"V"	false
"viio64/vi"	""	91	1.0	"D"	"I"	""	"vii"	"o"	"64"	""	"vi"	false
"V2"	""	91	2.0	"D"	"I"	""	"V"	""	"2"	""	""	false
"I6(2)"	""	92	1.0	"D"	"I"	""	"I"	""	"6"	"2"	""	false
".bII2"	""	92	2.5	"D"	"I"	""	"bII"	""	"2"	""	""	false
".bVII65"	""	93	1.0	"D"	"I"	""	"bVII"	""	"65"	""	""	false
".bVII43"	""	93	2.5	"D"	"I"	""	"bVII"	""	"43"	""	""	false
"I(4)"	""	94	1.0	"D"	"I"	""	"I"	""	""	"4"	""	false
"I"	""	94	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"I(b9)"	""	94	2.0	"D"	"I"	""	"I"	""	""	"b9"	""	false
"V6"	""	94	2.5	"D"	"I"	""	"V"	""	"6"	""	""	false
".bIII64"	""	95	1.0	"D"	"I"	""	"bIII"	""	"64"	""	""	false
"V2/IV"	""	95	2.0	"D"	"I"	""	"V"	""	"2"	""	"IV"	false
"IV65"	""	96	1.0	"D"	"I"	""	"IV"	""	"65"	""	""	false
".bVII7"	""	97	2.5	"D"	"I"	""	"bVII"	""	"7"	""	""	false
"iiio7"	""	99	2.5	"D"	"I"	""	"iii"	"o"	"7"	""	""	false
"vio65"	""	101	2.5	"D"	"I"	""	"vi"	"o"	"65"	""	""	false
"vio7"	""	103	1.0	"D"	"I"	""	"vi"	"o"	"7"	""	""	false
