"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"V7"	""	66	1.0	"a"	"vi"	""	"V"	""	"7"	""	""	false
"iv6"	""	66	2.5	"a"	"vi"	""	"iv"	""	"6"	""	""	false
"i"	""	67	1.0	"a"	"vi"	""	"i"	""	""	""	""	false
"i6"	""	68	1.0	"a"	"vi"	""	"i"	""	"6"	""	""	false
"i"	""	68	2.5	"a"	"vi"	""	"i"	""	""	""	""	false
".bv.V9(4)"	""	68	3.5	"a"	"bv"	""	"V"	""	"9"	"(4)"	""	false
"V9"	""	69	1.0	"a"	"bv"	""	"V"	""	"9"	""	""	false
"V7"	""	69	2.0	"a"	"bv"	""	"V"	""	"7"	""	""	false
"V9(4)"	""	69	3.5	"a"	"bv"	""	"V"	""	"9"	"(4)"	""	false
"V9"	""	70	1.0	"a"	"bv"	""	"V"	""	"9"	""	""	false
"V7"	""	70	2.0	"a"	"bv"	""	"V"	""	"7"	""	""	false
"V9(4)"	""	70	3.5	"a"	"bv"	""	"V"	""	"9"	"(4)"	""	false
"V9"	""	71	1.0	"a"	"bv"	""	"V"	""	"9"	""	""	false
"V7"	""	71	1.5	"a"	"bv"	""	"V"	""	"7"	""	""	false
"i64"	""	72	1.0	"a"	"bv"	""	"i"	""	"64"	""	""	false
"V7"	""	73	1.0	"a"	"bv"	""	"V"	""	"7"	""	""	false
"i64"	""	74	1.0	"a"	"bv"	""	"i"	""	"64"	""	""	false
"V65"	""	75	1.0	"a"	"bv"	""	"V"	""	"65"	""	""	false
"i"	""	76	1.0	"a"	"bv"	""	"i"	""	""	""	""	false
".bii.V2"	""	77	1.0	"a"	"bii"	""	"V"	""	"2"	""	""	false
"V43"	""	77	2.5	"a"	"bii"	""	"V"	""	"43"	""	""	false
"V7"	""	77	3.5	"a"	"bii"	""	"V"	""	"7"	""	""	false
"i6"	""	78	1.0	"a"	"bii"	""	"i"	""	"6"	""	""	false
"i64"	""	78	2.5	"a"	"bii"	""	"i"	""	"64"	""	""	false
"V7"	""	79	1.0	"a"	"bii"	""	"V"	""	"7"	""	""	false
"i64"	""	80	1.0	"a"	"bii"	""	"i"	""	"64"	""	""	false
"i6"	""	80	2.5	"a"	"bii"	""	"i"	""	"6"	""	""	false
"V7"	""	81	1.0	"a"	"bii"	""	"V"	""	"7"	""	""	false
"i64"	""	82	1.0	"a"	"bii"	""	"i"	""	"64"	""	""	false
"i6"	""	82	2.5	"a"	"bii"	""	"i"	""	"6"	""	""	false
"vi.V7"	""	83	1.0	"a"	"vi"	""	"V"	""	"7"	""	""	false
"V43"	""	83	2.5	"a"	"vi"	""	"V"	""	"43"	""	""	false
"i"	""	84	1.0	"a"	"vi"	""	"i"	""	""	""	""	false
".Ger6"	""	85	1.0	"a"	"vi"	""	"Ger"	""	"6"	""	""	false
"#iv%7"	""	85	2.5	"a"	"vi"	""	"#iv"	"%"	"7"	""	""	false
"V7/v"	""	85	3.5	"a"	"vi"	""	"V"	""	"7"	""	"v"	false
"iii.i"	""	86	1.0	"a"	"iii"	""	"i"	""	""	""	""	false
"i"	""	86	2.5	"a"	"iii"	""	"i"	""	""	""	""	false
".Ger6"	""	87	1.0	"a"	"iii"	""	"Ger"	""	"6"	""	""	false
"viio7/V"	""	87	2.5	"a"	"iii"	""	"vii"	"o"	"7"	""	"V"	false
"V7/V"	""	87	3.5	"a"	"iii"	""	"V"	""	"7"	""	"V"	false
"vii.i64"	""	88	1.0	"a"	"vii"	""	"i"	""	"64"	""	""	false
"i6"	""	88	2.0	"a"	"vii"	""	"i"	""	"6"	""	""	false
"i64"	""	88	3.5	"a"	"vii"	""	"i"	""	"64"	""	""	false
"V7"	""	89	1.0	"a"	"vii"	""	"V"	""	"7"	""	""	false
"V2"	""	89	2.0	"a"	"vii"	""	"V"	""	"2"	""	""	false
"V7"	""	89	3.5	"a"	"vii"	""	"V"	""	"7"	""	""	false
"i64"	""	90	1.0	"a"	"vii"	""	"i"	""	"64"	""	""	false
"i"	""	90	2.5	"a"	"vii"	""	"i"	""	""	""	""	false
"V65"	""	91	1.0	"a"	"vii"	""	"V"	""	"65"	""	""	false
"V7"	""	91	2.5	"a"	"vii"	""	"V"	""	"7"	""	""	false
"i"	""	92	1.0	"a"	"vii"	""	"i"	""	""	""	""	false
"iv.bII6"	""	92	2.5	"a"	"iv"	""	"bII"	""	"6"	""	""	false
"iv"	""	92	3.5	"a"	"iv"	""	"iv"	""	""	""	""	false
"#viio43"	""	93	1.0	"a"	"iv"	""	"#vii"	"o"	"43"	""	""	false
"#viio65"	""	93	2.0	"a"	"iv"	""	"#vii"	"o"	"65"	""	""	false
"V7"	""	93	3.5	"a"	"iv"	""	"V"	""	"7"	""	""	false
"i"	""	94	1.0	"a"	"iv"	""	"i"	""	""	""	""	false
"VI6"	""	94	2.5	"a"	"iv"	""	"VI"	""	"6"	""	""	false
"i.#viio7"	""	95	1.0	"a"	"i"	""	"#vii"	"o"	"7"	""	""	false
"V7"	""	95	3.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i"	""	96	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"VI"	""	96	2.5	"a"	"i"	""	"VI"	""	""	""	""	false
".It6"	""	96	3.5	"a"	"i"	""	"It"	""	"6"	""	""	false
"V"	""	97	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V7"	""	97	2.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i"	""	98	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"VI"	""	98	2.5	"a"	"i"	""	"VI"	""	""	""	""	false
".It6"	""	98	3.5	"a"	"i"	""	"It"	""	"6"	""	""	false
"V"	""	99	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V7"	""	99	2.5	"a"	"i"	""	"V"	""	"7"	""	""	false
"i"	""	100	1.0	"a"	"i"	""	"i"	""	""	""	""	false
"VI"	""	100	2.5	"a"	"i"	""	"VI"	""	""	""	""	false
".It6"	""	100	3.5	"a"	"i"	""	"It"	""	"6"	""	""	false
"V"	""	101	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V(64)"	""	101	2.5	"a"	"i"	""	"V"	""	""	"(64)"	""	false
".It6"	""	101	3.5	"a"	"i"	""	"It"	""	"6"	""	""	false
"V"	""	102	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V(64)"	""	102	2.5	"a"	"i"	""	"V"	""	""	"(64)"	""	false
".It6"	""	102	3.5	"a"	"i"	""	"It"	""	"6"	""	""	false
"V"	""	103	1.0	"a"	"i"	""	"V"	""	""	""	""	false
"V2"	""	104	3.5	"a"	"i"	""	"V"	""	"2"	""	""	false
"I.I"	""	105	1.0	"a"	"I"	""	"I"	""	""	""	""	false
"IV"	""	105	2.5	"a"	"I"	""	"IV"	""	""	""	""	false
"V7"	""	106	1.0	"a"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	106	2.5	"a"	"I"	""	"I"	""	""	""	""	false
"I6"	""	107	1.0	"a"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	107	2.5	"a"	"I"	""	"IV"	""	""	""	""	false
"V7"	""	108	1.0	"a"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	108	2.5	"a"	"I"	""	"I"	""	""	""	""	true
"I6"	""	109	1.0	"a"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	109	2.5	"a"	"I"	""	"IV"	""	""	""	""	false
"V7"	""	110	1.0	"a"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	110	2.5	"a"	"I"	""	"I"	""	""	""	""	false
"I6"	""	111	1.0	"a"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	111	2.5	"a"	"I"	""	"IV"	""	""	""	""	false
"V(64)"	""	112	1.0	"a"	"I"	""	"V"	""	""	"(64)"	""	false
"V43"	""	112	3.0	"a"	"I"	""	"V"	""	"43"	""	""	false
"I[I"	""	113	1.0	"a"	"I"	"I"	"I"	""	""	""	""	false
"#viio7"	""	113	2.5	"a"	"I"	"I"	"#vii"	"o"	"7"	""	""	false
"I"	""	114	1.0	"a"	"I"	"I"	"I"	""	""	""	""	false
"#viio7"	""	114	2.5	"a"	"I"	"I"	"#vii"	"o"	"7"	""	""	false
"V"	""	114	3.5	"a"	"I"	"I"	"V"	""	""	""	""	false
"I64"	""	115	1.0	"a"	"I"	"I"	"I"	""	"64"	""	""	false
"I"	""	115	2.0	"a"	"I"	"I"	"I"	""	""	""	""	false
"#viio43"	""	115	2.5	"a"	"I"	"I"	"#vii"	"o"	"43"	""	""	false
"V"	""	115	3.5	"a"	"I"	"I"	"V"	""	""	""	""	false
"I6"	""	116	1.0	"a"	"I"	"I"	"I"	""	"6"	""	""	false
"#viio43"	""	116	2.0	"a"	"I"	"I"	"#vii"	"o"	"43"	""	""	false
"I6"	""	116	2.5	"a"	"I"	"I"	"I"	""	"6"	""	""	false
"#viio43"	""	116	3.5	"a"	"I"	"I"	"#vii"	"o"	"43"	""	""	false
"I6"	""	117	1.0	"a"	"I"	"I"	"I"	""	"6"	""	""	false
"#viio43"	""	117	2.0	"a"	"I"	"I"	"#vii"	"o"	"43"	""	""	false
