quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
41/2	0.25	7	7	5/8	5/8	3/4	3	1	1/16	1/16	1		0	60		97
41/2	0.5	7	7	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77		92
83/4	0.25	7	7	11/16	11/16	3/4	3	1	1/16	1/16	1		2	62		98
21	1.0	8	8	0	0	3/4	4	1	1/4	1/4	1		0	60		111
21	1.0	8	8	0	0	3/4	3	1	1/4	1/4	1		4	64		108
21	1.0	8	8	0	0	3/4	2	1	1/4	1/4	1		0	72		105
21	1.75	8	8	0	0	3/4	1	1	7/16	1/4	7/4		4	76		102
22	1.0	8	8	1/4	1/4	3/4	4	1	1/4	1/4	1		1	55		112
22	1.0	8	8	1/4	1/4	3/4	3	1	1/4	1/4	1		-1	65		109
22	1.0	8	8	1/4	1/4	3/4	2	1	1/4	1/4	1		5	71		106
91/4	0.25	8	8	7/16	7/16	3/4	1	1	1/16	1/16	1		2	74		103
23	1.0	8	8	1/2	1/2	3/4	4	1	1/4	1/4	1		0	48		113
23	1.0	8	8	1/2	1/2	3/4	3	1	1/4	1/4	1		4	64		110
23	1.0	8	8	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		104
23	1.0	8	8	1/2	1/2	3/4	2	1	1/4	1/4	1		0	72		107
24	2.0	9	9	0	0	3/4	4	1	1/2	1/2	1		0	48		129
24	2.0	9	9	0	0	3/4	3	1	1/2	1/2	1		4	52		124
24	2.0	9	9	0	0	3/4	2	1	1/2	1/2	1		1	55		119
24	2.0	9	9	0	0	3/4	1	1	1/2	1/2	1		0	60		114
26	0.25	9	9	1/2	1/2	3/4	4	1	1/16	1/16	1		2	50		130
26	0.25	9	9	1/2	1/2	3/4	3	1	1/16	1/16	1		-1	53		125
26	0.25	9	9	1/2	1/2	3/4	2	1	1/16	1/16	1		1	55		120
26	0.25	9	9	1/2	1/2	3/4	1	1	1/16	1/16	1		5	59		115
105/4	0.25	9	9	9/16	9/16	3/4	4	1	1/16	1/16	1		0	48		131
105/4	0.25	9	9	9/16	9/16	3/4	3	1	1/16	1/16	1		4	52		126
105/4	0.25	9	9	9/16	9/16	3/4	2	1	1/16	1/16	1		3	57		121
105/4	0.25	9	9	9/16	9/16	3/4	1	1	1/16	1/16	1		0	60		116
53/2	0.25	9	9	5/8	5/8	3/4	4	1	1/16	1/16	1		5	47		132
53/2	0.25	9	9	5/8	5/8	3/4	3	1	1/16	1/16	1		2	50		127
53/2	0.25	9	9	5/8	5/8	3/4	2	1	1/16	1/16	1		5	59		122
53/2	0.25	9	9	5/8	5/8	3/4	1	1	1/16	1/16	1		2	62		117
107/4	0.25	9	9	11/16	11/16	3/4	4	1	1/16	1/16	1		3	45		133
107/4	0.25	9	9	11/16	11/16	3/4	3	1	1/16	1/16	1		0	48		128
107/4	0.25	9	9	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60		123
107/4	0.25	9	9	11/16	11/16	3/4	1	1	1/16	1/16	1		4	64		118
27	1.0	10	10	0	0	3/4	4	1	1/4	1/4	1		1	43		140
27	2.0	10	10	0	0	3/4	3	1	1/2	1/2	1		2	50		138
27	2.0	10	10	0	0	3/4	2	1	1/2	1/2	1		5	59		136
27	2.0	10	10	0	0	3/4	1	1	1/2	1/2	1		-1	65		134
28	1.0	10	10	1/4	1/4	3/4	4	1	1/4	1/4	1		8	44		141
29	1.0	10	10	1/2	1/2	3/4	4	1	1/4	1/4	1		3	45		142
29	1.0	10	10	1/2	1/2	3/4	3	1	1/4	1/4	1		0	48		139
29	1.0	10	10	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		137
29	1.0	10	10	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64		135
30	1.0	11	11	0	0	3/4	4	1	1/4	1/4	1		-1	41		149
30	2.0	11	11	0	0	3/4	3	1	1/2	1/2	1		0	48		147
30	2.0	11	11	0	0	3/4	2	1	1/2	1/2	1		0	60		145
30	2.0	11	11	0	0	3/4	1	1	1/2	1/2	1		2	62		143
31	2.0	11	11	1/4	1/4	3/4	4	1	1/2	1/2	1		6	42		150
32	1.0	11	11	1/2	1/2	3/4	3	1	1/4	1/4	1		2	50		148
32	1.0	11	11	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		146
32	1.0	11	11	1/2	1/2	3/4	1	1	1/4	1/4	1	1	3	69		144
33	1.0	12	12	0	0	3/4	4	1	1/4	1/4	1		1	43		165
33	1.0	12	12	0	0	3/4	3	1	1/4	1/4	1		2	50		160
33	1.0	12	12	0	0	3/4	2	1	1/4	1/4	1		5	59		157
33	0.5	12	12	0	0	3/4	1	1	1/8	1/8	1	-1	3	69		151
67/2	1.0	12	12	1/8	1/8	3/4	1	1	1/4	1/4	1		1	67		152
34	1.0	12	12	1/4	1/4	3/4	4	1	1/4	1/4	1		2	38		166
34	1.0	12	12	1/4	1/4	3/4	3	1	1/4	1/4	1	1	2	50		161
34	1.0	12	12	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60		158
69/2	0.5	12	12	3/8	3/8	3/4	1	1	1/8	1/8	1		6	66		153
35	1.0	12	12	1/2	1/2	3/4	4	1	1/4	1/4	1		1	43		167
35	0.3333333333333333	12	12	1/2	1/2	3/4	3	1	1/12	1/8	2/3	-1	2	50		162
35	1.0	12	12	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59		159
35	0.3333333333333333	12	12	1/2	1/2	3/4	1	1	1/12	1/8	2/3		1	67		154
106/3	0.3333333333333333	12	12	7/12	7/12	3/4	3	1	1/12	1/8	2/3		2	50		163
106/3	0.3333333333333333	12	12	7/12	7/12	3/4	1	1	1/12	1/8	2/3		-1	65		155
107/3	0.3333333333333333	12	12	2/3	2/3	3/4	3	1	1/12	1/8	2/3		-1	53		164
107/3	0.3333333333333333	12	12	2/3	2/3	3/4	1	1	1/12	1/8	2/3		2	62		156
36	2.0	13	13	0	0	3/4	4	1	1/2	1/2	1		0	48		191
36	2.0	13	13	0	0	3/4	3	1	1/2	1/2	1		4	52		186
36	0.5	13	13	0	0	3/4	2	1	1/8	1/8	1		0	60		175
36	1.5	13	13	0	0	3/4	1	1	3/8	1/4	3/2		0	60		168
73/2	0.25	13	13	1/8	1/8	3/4	2	1	1/16	1/16	1		1	55		176
147/4	0.25	13	13	3/16	3/16	3/4	2	1	1/16	1/16	1		3	57		177
37	0.25	13	13	1/4	1/4	3/4	2	1	1/16	1/16	1		1	55		178
149/4	0.25	13	13	5/16	5/16	3/4	2	1	1/16	1/16	1		3	57		179
75/2	0.25	13	13	3/8	3/8	3/4	2	1	1/16	1/16	1		1	55		180
75/2	0.25	13	13	3/8	3/8	3/4	1	1	1/16	1/16	1		2	62		169
151/4	0.25	13	13	7/16	7/16	3/4	2	1	1/16	1/16	1		3	57		181
151/4	0.25	13	13	7/16	7/16	3/4	1	1	1/16	1/16	1		0	60		170
38	0.25	13	13	1/2	1/2	3/4	4	1	1/16	1/16	1		2	50		192
38	0.25	13	13	1/2	1/2	3/4	3	1	1/16	1/16	1		-1	53		187
38	0.25	13	13	1/2	1/2	3/4	2	1	1/16	1/16	1		1	55		182
38	0.25	13	13	1/2	1/2	3/4	1	1	1/16	1/16	1		5	59		171
153/4	0.25	13	13	9/16	9/16	3/4	4	1	1/16	1/16	1		0	48		193
153/4	0.25	13	13	9/16	9/16	3/4	3	1	1/16	1/16	1		4	52		188
153/4	0.25	13	13	9/16	9/16	3/4	2	1	1/16	1/16	1		3	57		183
153/4	0.25	13	13	9/16	9/16	3/4	1	1	1/16	1/16	1		0	60		172
77/2	0.25	13	13	5/8	5/8	3/4	4	1	1/16	1/16	1		5	47		194
77/2	0.25	13	13	5/8	5/8	3/4	3	1	1/16	1/16	1		2	50		189
77/2	0.25	13	13	5/8	5/8	3/4	2	1	1/16	1/16	1		5	59		184
77/2	0.25	13	13	5/8	5/8	3/4	1	1	1/16	1/16	1		2	62		173
155/4	0.25	13	13	11/16	11/16	3/4	4	1	1/16	1/16	1		3	45		195
155/4	0.25	13	13	11/16	11/16	3/4	3	1	1/16	1/16	1		0	48		190
155/4	0.25	13	13	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60		185
155/4	0.25	13	13	11/16	11/16	3/4	1	1	1/16	1/16	1		4	64		174
39	1.0	14	14	0	0	3/4	4	1	1/4	1/4	1		1	43		202
39	2.0	14	14	0	0	3/4	3	1	1/2	1/2	1		2	50		200
39	2.0	14	14	0	0	3/4	2	1	1/2	1/2	1		5	59		198
39	2.0	14	14	0	0	3/4	1	1	1/2	1/2	1		-1	65		196
40	1.0	14	14	1/4	1/4	3/4	4	1	1/4	1/4	1		8	44		203
41	1.0	14	14	1/2	1/2	3/4	4	1	1/4	1/4	1		3	45		204
41	1.0	14	14	1/2	1/2	3/4	3	1	1/4	1/4	1		0	48		201
41	1.0	14	14	1/2	1/2	3/4	2	1	1/4	1/4	1	1	0	60		199
41	1.0	14	14	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64		197
42	1.0	15	15	0	0	3/4	4	1	1/4	1/4	1		-1	41		215
42	1.0	15	15	0	0	3/4	3	1	1/4	1/4	1		0	48		211
42	2.0	15	15	0	0	3/4	2	1	1/2	1/2	1	-1	0	60		209
42	1.5	15	15	0	0	3/4	1	1	3/8	1/4	3/2		2	62		205
43	1.0	15	15	1/4	1/4	3/4	4	1	1/4	1/4	1		6	42		216
43	1.5	15	15	1/4	1/4	3/4	3	1	3/8	1/4	3/2		2	50		212
87/2	0.5	15	15	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69		206
44	1.0	15	15	1/2	1/2	3/4	4	1	1/4	1/4	1		1	43		217
44	1.0	15	15	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59		210
44	0.5	15	15	1/2	1/2	3/4	1	1	1/8	1/8	1		1	67		207
89/2	0.25	15	15	5/8	5/8	3/4	3	1	1/16	1/16	1		0	48		213
89/2	0.5	15	15	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	65		208
179/4	0.25	15	15	11/16	11/16	3/4	3	1	1/16	1/16	1		2	50		214
45	1.0	16	16	0	0	3/4	4	1	1/4	1/4	1		0	48		227
45	1.0	16	16	0	0	3/4	3	1	1/4	1/4	1		4	52		224
45	1.0	16	16	0	0	3/4	2	1	1/4	1/4	1		0	60		221
45	1.75	16	16	0	0	3/4	1	1	7/16	1/4	7/4		4	64		218
46	1.0	16	16	1/4	1/4	3/4	4	1	1/4	1/4	1		1	43		228
46	1.0	16	16	1/4	1/4	3/4	3	1	1/4	1/4	1		-1	53		225
46	1.0	16	16	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59		222
187/4	0.25	16	16	7/16	7/16	3/4	1	1	1/16	1/16	1		2	62		219
47	1.0	16	16	1/2	1/2	3/4	4	1	1/4	1/4	1		0	36		229
47	1.0	16	16	1/2	1/2	3/4	3	1	1/4	1/4	1		4	52		226
47	1.0	16	16	1/2	1/2	3/4	1	1	1/4	1/4	1		0	60		220
47	1.0	16	16	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		223
48	2.0	17	17	0	0	3/4	1	1	1/2	1/2	1		1	67		230
49	2.0	17	17	1/4	1/4	3/4	4	1	1/2	1/2	1		1	55		237
49	2.0	17	17	1/4	1/4	3/4	3	1	1/2	1/2	1		5	59		236
49	2.0	17	17	1/4	1/4	3/4	2	1	1/2	1/2	1		2	62		235
50	0.25	17	17	1/2	1/2	3/4	1	1	1/16	1/16	1		6	66		231
201/4	0.25	17	17	9/16	9/16	3/4	1	1	1/16	1/16	1		1	67		232
101/2	0.25	17	17	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69		233
203/4	0.25	17	17	11/16	11/16	3/4	1	1	1/16	1/16	1		5	71		234
51	1.5	18	18	0	0	3/4	1	1	3/8	1/4	3/2		0	72		238
52	2.0	18	18	1/4	1/4	3/4	4	1	1/2	1/2	1		1	55		246
52	2.0	18	18	1/4	1/4	3/4	3	1	1/2	1/2	1		0	60		245
52	2.0	18	18	1/4	1/4	3/4	2	1	1/2	1/2	1		6	66		244
105/2	0.5	18	18	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69		239
53	0.25	18	18	1/2	1/2	3/4	1	1	1/16	1/16	1		8	68		240
213/4	0.25	18	18	9/16	9/16	3/4	1	1	1/16	1/16	1		3	69		241
107/2	0.25	18	18	5/8	5/8	3/4	1	1	1/16	1/16	1		5	71		242
215/4	0.25	18	18	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72		243
54	0.5	19	19	0	0	3/4	1	1	1/8	1/8	1		2	74		247
109/2	0.5	19	19	1/8	1/8	3/4	1	1	1/8	1/8	1		5	71		248
55	1.0	19	19	1/4	1/4	3/4	4	1	1/4	1/4	1		1	55		259
55	1.0	19	19	1/4	1/4	3/4	3	1	1/4	1/4	1		2	62		257
55	1.0	19	19	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65		255
55	0.25	19	19	1/4	1/4	3/4	1	1	1/16	1/16	1		3	69		249
221/4	0.25	19	19	5/16	5/16	3/4	1	1	1/16	1/16	1		5	71		250
111/2	0.25	19	19	3/8	3/8	3/4	1	1	1/16	1/16	1		0	72		251
223/4	0.25	19	19	7/16	7/16	3/4	1	1	1/16	1/16	1		2	74		252
56	1.0	19	19	1/2	1/2	3/4	4	1	1/4	1/4	1	1	1	55		260
56	1.0	19	19	1/2	1/2	3/4	3	1	1/4	1/4	1	1	0	60		258
56	1.0	19	19	1/2	1/2	3/4	2	1	1/4	1/4	1	1	4	64		256
56	0.5	19	19	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		253
113/2	0.5	19	19	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72		254
57	1.0	20	20	0	0	3/4	4	1	1/4	1/4	1	-1	1	55		277
57	1.0	20	20	0	0	3/4	3	1	1/4	1/4	1	-1	0	60		275
57	1.0	20	20	0	0	3/4	2	1	1/4	1/4	1	-1	4	64		273
57	0.25	20	20	0	0	3/4	1	1	1/16	1/16	1		5	71		261
229/4	0.25	20	20	1/16	1/16	3/4	1	1	1/16	1/16	1		0	72		262
115/2	0.25	20	20	1/8	1/8	3/4	1	1	1/16	1/16	1		2	74		263
231/4	0.25	20	20	3/16	3/16	3/4	1	1	1/16	1/16	1		4	76		264
58	1.0	20	20	1/4	1/4	3/4	4	1	1/4	1/4	1		1	55		278
58	1.0	20	20	1/4	1/4	3/4	3	1	1/4	1/4	1		5	59		276
58	1.0	20	20	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62		274
58	0.25	20	20	1/4	1/4	3/4	1	1	1/16	1/16	1		-1	77		265
233/4	0.25	20	20	5/16	5/16	3/4	1	1	1/16	1/16	1		1	79		266
117/2	0.25	20	20	3/8	3/8	3/4	1	1	1/16	1/16	1		3	81		267
235/4	0.25	20	20	7/16	7/16	3/4	1	1	1/16	1/16	1		1	79		268
59	0.25	20	20	1/2	1/2	3/4	1	1	1/16	1/16	1		-1	77		269
237/4	0.25	20	20	9/16	9/16	3/4	1	1	1/16	1/16	1		4	76		270
119/2	0.25	20	20	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74		271
239/4	0.25	20	20	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72		272
60	0.25	21	21	0	0	3/4	1	1	1/16	1/16	1		5	71		279
241/4	0.25	21	21	1/16	1/16	3/4	1	1	1/16	1/16	1		3	69		280
121/2	0.25	21	21	1/8	1/8	3/4	1	1	1/16	1/16	1		1	67		281
243/4	0.25	21	21	3/16	3/16	3/4	1	1	1/16	1/16	1		-1	65		282
61	0.25	21	21	1/4	1/4	3/4	1	1	1/16	1/16	1		4	64		283
245/4	0.25	21	21	5/16	5/16	3/4	1	1	1/16	1/16	1		2	62		284
123/2	0.25	21	21	3/8	3/8	3/4	1	1	1/16	1/16	1		0	60		285
247/4	0.25	21	21	7/16	7/16	3/4	1	1	1/16	1/16	1		5	59		286
62	0.25	21	21	1/2	1/2	3/4	3	1	1/16	1/16	1		3	57		287
249/4	0.25	21	21	9/16	9/16	3/4	3	1	1/16	1/16	1		1	55		288
125/2	0.25	21	21	5/8	5/8	3/4	3	1	1/16	1/16	1		-1	53		289
251/4	0.25	21	21	11/16	11/16	3/4	3	1	1/16	1/16	1		4	52		290
63	0.25	22	22	0	0	3/4	4	1	1/16	1/16	1		2	50		291
253/4	0.25	22	22	1/16	1/16	3/4	4	1	1/16	1/16	1		0	48		292
127/2	0.25	22	22	1/8	1/8	3/4	4	1	1/16	1/16	1		5	47		293
255/4	0.25	22	22	3/16	3/16	3/4	4	1	1/16	1/16	1		3	45		294
64	0.25	22	22	1/4	1/4	3/4	4	1	1/16	1/16	1		1	43		295
257/4	0.25	22	22	5/16	5/16	3/4	4	1	1/16	1/16	1		3	45		296
129/2	0.25	22	22	3/8	3/8	3/4	4	1	1/16	1/16	1		5	47		297
259/4	0.25	22	22	7/16	7/16	3/4	4	1	1/16	1/16	1		0	48		298
65	0.25	22	22	1/2	1/2	3/4	4	1	1/16	1/16	1		2	50		299
261/4	0.25	22	22	9/16	9/16	3/4	4	1	1/16	1/16	1		4	52		300
131/2	0.25	22	22	5/8	5/8	3/4	4	1	1/16	1/16	1		-1	53		301
263/4	0.25	22	22	11/16	11/16	3/4	4	1	1/16	1/16	1		2	50		302
66	2.0	23	23	0	0	3/4	4	1	1/2	1/2	1		0	48		304
67	2.0	23	23	1/4	1/4	3/4	3	1	1/2	1/2	1	1	1	55		303
68	0.25	23	23	1/2	1/2	3/4	4	1	1/16	1/16	1		5	47		305
273/4	0.25	23	23	9/16	9/16	3/4	4	1	1/16	1/16	1		0	48		306
137/2	0.25	23	23	5/8	5/8	3/4	4	1	1/16	1/16	1		2	50		307
275/4	0.25	23	23	11/16	11/16	3/4	4	1	1/16	1/16	1		4	52		308
69	2.0	24	24	0	0	3/4	4	1	1/2	1/2	1		-1	53		322
69	1.0	24	24	0	0	3/4	3	1	1/4	1/4	1	-1	1	55		315
69	2.0	24	24	0	0	3/4	2	1	1/2	1/2	1		2	62		310
70	0.25	24	24	1/4	1/4	3/4	3	1	1/16	1/16	1		6	54		316
281/4	0.25	24	24	5/16	5/16	3/4	3	1	1/16	1/16	1		1	55		317
141/2	0.25	24	24	3/8	3/8	3/4	3	1	1/16	1/16	1		3	57		318
283/4	0.25	24	24	7/16	7/16	3/4	3	1	1/16	1/16	1		5	59		319
71	1.0	24	24	1/2	1/2	3/4	4	1	1/4	1/4	1		4	52		323
71	0.25	24	24	1/2	1/2	3/4	2	1	1/16	1/16	1		0	60		311
71	0.5	24	24	1/2	1/2	3/4	3	1	1/8	1/8	1		0	60		320
71	1.0	24	24	1/2	1/2	3/4	1	1	1/4	1/4	1	1	1	67		309
285/4	0.25	24	24	9/16	9/16	3/4	2	1	1/16	1/16	1		2	62		312
143/2	0.5	24	24	5/8	5/8	3/4	3	1	1/8	1/8	1	1	1	55		321
143/2	0.25	24	24	5/8	5/8	3/4	2	1	1/16	1/16	1		4	64		313
287/4	0.25	24	24	11/16	11/16	3/4	2	1	1/16	1/16	1		-1	65		314
72	1.0	25	25	0	0	3/4	4	1	1/4	1/4	1		2	50		344
72	0.5	25	25	0	0	3/4	3	1	1/8	1/8	1	-1	1	55		338
