quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
14	0.5	5	5	1/2	1/2	6/8	1	1	1/8	1/8	1		-2	58		35
29/2	0.5	5	5	5/8	5/8	6/8	1	1	1/8	1/8	1		0	60		36
15	1.5	6	6	0	0	6/8	4	1	3/8	1/4	3/2		-5	37		56
15	1.5	6	6	0	0	6/8	4	1	3/8	1/4	3/2		-4	44		56
15	1.0	6	6	0	0	6/8	3	1	1/4	1/4	1		-1	53		52
15	1.5	6	6	0	0	6/8	2	1	3/8	1/4	3/2	-1	-4	56		48
15	0.5	6	6	0	0	6/8	1	1	1/8	1/8	1		-5	61		43
31/2	0.5	6	6	1/8	1/8	6/8	1	1	1/8	1/8	1		-3	63		44
16	0.5	6	6	1/4	1/4	6/8	3	1	1/8	1/8	1		-5	49		53
16	0.5	6	6	1/4	1/4	6/8	1	1	1/8	1/8	1		-1	65		45
33/2	1.0	6	6	3/8	3/8	6/8	4	1	1/4	1/4	1		-4	44		57
33/2	1.0	6	6	3/8	3/8	6/8	3	1	1/4	1/4	1		0	48		54
33/2	0.5	6	6	3/8	3/8	6/8	2	1	1/8	1/8	1		-4	56		49
33/2	0.5	6	6	3/8	3/8	6/8	1	1	1/8	1/8	1		-1	65		46
17	0.5	6	6	1/2	1/2	6/8	2	1	1/8	1/8	1		0	60		50
17	1.0	6	6	1/2	1/2	6/8	1	1	1/4	1/4	1		-3	63		47
35/2	0.5	6	6	5/8	5/8	6/8	4	1	1/8	1/8	1		-6	42		58
35/2	0.5	6	6	5/8	5/8	6/8	3	1	1/8	1/8	1	1	-3	51		55
35/2	0.5	6	6	5/8	5/8	6/8	2	1	1/8	1/8	1		-2	58		51
18	1.5	7	7	0	0	6/8	4	1	3/8	1/4	3/2		-1	41		69
18	1.0	7	7	0	0	6/8	3	1	1/4	1/4	1	-1	-3	51		66
18	1.5	7	7	0	0	6/8	2	1	3/8	1/4	3/2		3	57		64
18	1.0	7	7	0	0	6/8	1	1	1/4	1/4	1		-1	65		59
19	0.5	7	7	1/4	1/4	6/8	3	1	1/8	1/8	1		0	48		67
19	0.5	7	7	1/4	1/4	6/8	1	1	1/8	1/8	1		-1	65		60
39/2	1.5	7	7	3/8	3/8	6/8	4	1	3/8	1/4	3/2		-2	46		70
39/2	1.5	7	7	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-5	49		68
39/2	1.5	7	7	3/8	3/8	6/8	2	1	3/8	1/4	3/2		-2	58		65
39/2	0.5	7	7	3/8	3/8	6/8	1	1	1/8	1/8	1		-1	65		61
20	0.5	7	7	1/2	1/2	6/8	1	1	1/8	1/8	1		-5	61		62
41/2	0.5	7	7	5/8	5/8	6/8	1	1	1/8	1/8	1		-2	58		63
21	1.5	8	8	0	0	6/8	4	1	3/8	1/4	3/2		2	38		81
21	1.0	8	8	0	0	6/8	3	1	1/4	1/4	1		2	50		78
21	1.5	8	8	0	0	6/8	2	1	3/8	1/4	3/2		-1	65		76
21	1.0	8	8	0	0	6/8	1	1	1/4	1/4	1		-2	70		71
22	0.5	8	8	1/4	1/4	6/8	3	1	1/8	1/8	1		-1	53		79
22	0.5	8	8	1/4	1/4	6/8	1	1	1/8	1/8	1		-2	70		72
45/2	1.5	8	8	3/8	3/8	6/8	4	1	3/8	1/4	3/2		-3	39		82
45/2	1.5	8	8	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-6	54		80
45/2	1.5	8	8	3/8	3/8	6/8	2	1	3/8	1/4	3/2		-2	58		77
45/2	0.5	8	8	3/8	3/8	6/8	1	1	1/8	1/8	1		-2	70		73
23	0.5	8	8	1/2	1/2	6/8	1	1	1/8	1/8	1		-6	66		74
47/2	0.5	8	8	5/8	5/8	6/8	1	1	1/8	1/8	1		-3	63		75
24	1.5	9	9	0	0	6/8	4	1	3/8	1/4	3/2		0	36		94
24	1.0	9	9	0	0	6/8	3	1	1/4	1/4	1		-6	54		91
24	1.0	9	9	0	0	6/8	2	1	1/4	1/4	1		-3	63		88
24	1.0	9	9	0	0	6/8	1	1	1/4	1/4	1		-4	68		83
25	0.5	9	9	1/4	1/4	6/8	3	1	1/8	1/8	1		-3	51		92
25	0.5	9	9	1/4	1/4	6/8	2	1	1/8	1/8	1	1	-4	56		89
25	0.5	9	9	1/4	1/4	6/8	2	1	1/8	1/8	1		-3	63		89
25	0.5	9	9	1/4	1/4	6/8	1	1	1/8	1/8	1		-4	68		84
51/2	1.0	9	9	3/8	3/8	6/8	4	1	1/4	1/4	1		-5	37		95
51/2	1.5	9	9	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-1	53		93
51/2	1.5	9	9	3/8	3/8	6/8	2	1	3/8	1/4	3/2	-1	-4	56		90
51/2	0.5	9	9	3/8	3/8	6/8	1	1	1/8	1/8	1		-4	68		85
26	0.5	9	9	1/2	1/2	6/8	1	1	1/8	1/8	1		-1	65		86
53/2	0.5	9	9	5/8	5/8	6/8	4	1	1/8	1/8	1		-1	41		96
53/2	0.5	9	9	5/8	5/8	6/8	1	1	1/8	1/8	1		-5	61		87
27	1.5	10	10	0	0	6/8	4	1	3/8	1/4	3/2		-4	44		107
27	1.0	10	10	0	0	6/8	3	1	1/4	1/4	1		-1	53		104
27	0.5	10	10	0	0	6/8	1	1	1/8	1/8	1		-4	56		97
27	1.0	10	10	0	0	6/8	2	1	1/4	1/4	1		-5	61		101
55/2	0.5	10	10	1/8	1/8	6/8	1	1	1/8	1/8	1		-1	65		98
28	0.5	10	10	1/4	1/4	6/8	3	1	1/8	1/8	1		-6	54		105
28	0.5	10	10	1/4	1/4	6/8	2	1	1/8	1/8	1		0	60		102
28	0.5	10	10	1/4	1/4	6/8	1	1	1/8	1/8	1		-3	63		99
57/2	0.5	10	10	3/8	3/8	6/8	4	1	1/8	1/8	1		-5	49		108
57/2	1.5	10	10	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-1	53		106
57/2	1.5	10	10	3/8	3/8	6/8	2	1	3/8	1/4	3/2	1	-4	56		103
57/2	1.5	10	10	3/8	3/8	6/8	1	1	3/8	1/4	3/2		-5	61		100
29	0.5	10	10	1/2	1/2	6/8	4	1	1/8	1/8	1		-1	41		109
59/2	0.5	10	10	5/8	5/8	6/8	4	1	1/8	1/8	1		-6	42		110
30	0.5	11	11	0	0	6/8	4	1	1/8	1/8	1		-4	44		123
30	1.0	11	11	0	0	6/8	3	1	1/4	1/4	1		-1	53		119
30	1.5	11	11	0	0	6/8	2	1	3/8	1/4	3/2	-1	-4	56		116
30	1.0	11	11	0	0	6/8	1	1	1/4	1/4	1		-5	61		111
61/2	0.5	11	11	1/8	1/8	6/8	4	1	1/8	1/8	1		-1	53		124
31	0.5	11	11	1/4	1/4	6/8	4	1	1/8	1/8	1		-3	51		125
31	0.5	11	11	1/4	1/4	6/8	3	1	1/8	1/8	1		-6	54		120
31	0.5	11	11	1/4	1/4	6/8	1	1	1/8	1/8	1		0	60		112
63/2	1.0	11	11	3/8	3/8	6/8	4	1	1/4	1/4	1		-5	49		126
63/2	1.0	11	11	3/8	3/8	6/8	3	1	1/4	1/4	1		-1	53		121
63/2	0.5	11	11	3/8	3/8	6/8	2	1	1/8	1/8	1		-4	56		117
63/2	0.5	11	11	3/8	3/8	6/8	1	1	1/8	1/8	1		-5	61		113
32	1.0	11	11	1/2	1/2	6/8	2	1	1/4	1/4	1		-5	61		118
32	0.5	11	11	1/2	1/2	6/8	1	1	1/8	1/8	1		-1	65		114
65/2	0.5	11	11	5/8	5/8	6/8	4	1	1/8	1/8	1		-2	46		127
65/2	0.5	11	11	5/8	5/8	6/8	3	1	1/8	1/8	1		-5	49		122
65/2	0.5	11	11	5/8	5/8	6/8	1	1	1/8	1/8	1		-6	66		115
33	1.5	12	12	0	0	6/8	4	1	3/8	1/4	3/2		-4	44		145
33	1.0	12	12	0	0	6/8	3	1	1/4	1/4	1		-5	49		140
33	0.5	12	12	0	0	6/8	2	1	1/8	1/8	1		-1	65		134
33	0.5	12	12	0	0	6/8	1	1	1/8	1/8	1		-4	68		128
67/2	0.5	12	12	1/8	1/8	6/8	2	1	1/8	1/8	1		-4	68		135
67/2	0.5	12	12	1/8	1/8	6/8	1	1	1/8	1/8	1		-1	77		129
34	0.5	12	12	1/4	1/4	6/8	3	1	1/8	1/8	1		0	48		141
34	0.5	12	12	1/4	1/4	6/8	2	1	1/8	1/8	1		-6	66		136
34	0.5	12	12	1/4	1/4	6/8	1	1	1/8	1/8	1		-3	75		130
69/2	0.5	12	12	3/8	3/8	6/8	4	1	1/8	1/8	1		-5	49		146
69/2	0.5	12	12	3/8	3/8	6/8	3	1	1/8	1/8	1		-1	53		142
69/2	0.5	12	12	3/8	3/8	6/8	2	1	1/8	1/8	1		-1	65		137
69/2	0.5	12	12	3/8	3/8	6/8	1	1	1/8	1/8	1		-5	73		131
35	0.5	12	12	1/2	1/2	6/8	4	1	1/8	1/8	1		-5	49		147
35	0.5	12	12	1/2	1/2	6/8	3	1	1/8	1/8	1		-6	54		143
35	0.5	12	12	1/2	1/2	6/8	2	1	1/8	1/8	1		-5	61		138
35	0.5	12	12	1/2	1/2	6/8	1	1	1/8	1/8	1		-2	70		132
71/2	0.5	12	12	5/8	5/8	6/8	4	1	1/8	1/8	1		-5	49		148
71/2	0.5	12	12	5/8	5/8	6/8	3	1	1/8	1/8	1		-3	51		144
71/2	0.5	12	12	5/8	5/8	6/8	2	1	1/8	1/8	1		-5	61		139
71/2	0.5	12	12	5/8	5/8	6/8	1	1	1/8	1/8	1		-6	66		133
36	0.5	13	13	0	0	6/8	3	1	1/8	1/8	1		-5	49		157
36	0.5	13	13	0	0	6/8	4	1	1/8	1/8	1		-5	49		160
36	1.0	13	13	0	0	6/8	2	1	1/4	1/4	1		-5	61		154
36	0.5	13	13	0	0	6/8	1	1	1/8	1/8	1		-1	65		149
73/2	1.0	13	13	1/8	1/8	6/8	4	1	1/4	1/4	1		-5	61		161
73/2	1.0	13	13	1/8	1/8	6/8	3	1	1/4	1/4	1		-1	65		158
73/2	0.5	13	13	1/8	1/8	6/8	1	1	1/8	1/8	1		-4	68		150
37	0.5	13	13	1/4	1/4	6/8	2	1	1/8	1/8	1		-4	68		155
37	0.5	13	13	1/4	1/4	6/8	1	1	1/8	1/8	1		-5	73		151
75/2	1.5	13	13	3/8	3/8	6/8	4	1	3/8	1/4	3/2		-3	63		162
75/2	1.5	13	13	3/8	3/8	6/8	3	1	3/8	1/4	3/2		-6	66		159
75/2	1.5	13	13	3/8	3/8	6/8	2	1	3/8	1/4	3/2		-4	68		156
75/2	1.0	13	13	3/8	3/8	6/8	1	1	1/4	1/4	1		-5	73		152
77/2	0.5	13	13	5/8	5/8	6/8	1	1	1/8	1/8	1		0	72		153
39	1.5	14	14	0	0	6/8	4	1	3/8	1/4	3/2		-5	61		174
39	1.5	14	14	0	0	6/8	3	1	3/8	1/4	3/2		-1	65		170
39	1.5	14	14	0	0	6/8	2	1	3/8	1/4	3/2		-4	68		168
39	0.5	14	14	0	0	6/8	1	1	1/8	1/8	1		-5	73		163
79/2	0.5	14	14	1/8	1/8	6/8	1	1	1/8	1/8	1		-3	75		164
40	0.5	14	14	1/4	1/4	6/8	1	1	1/8	1/8	1		-1	77		165
81/2	1.5	14	14	3/8	3/8	6/8	4	1	3/8	1/4	3/2	1	0	60		175
81/2	0.5	14	14	3/8	3/8	6/8	3	1	1/8	1/8	1		-3	63		171
81/2	1.5	14	14	3/8	3/8	6/8	2	1	3/8	1/4	3/2		-4	68		169
81/2	1.0	14	14	3/8	3/8	6/8	1	1	1/4	1/4	1		-1	77		166
41	0.5	14	14	1/2	1/2	6/8	3	1	1/8	1/8	1		-1	65		172
83/2	0.5	14	14	5/8	5/8	6/8	3	1	1/8	1/8	1		-6	66		173
83/2	0.5	14	14	5/8	5/8	6/8	1	1	1/8	1/8	1		-3	75		167
42	0.5	15	15	0	0	6/8	4	1	1/8	1/8	1	-1	0	60		187
42	1.0	15	15	0	0	6/8	3	1	1/4	1/4	1		-6	66		183
42	1.0	15	15	0	0	6/8	2	1	1/4	1/4	1		-9	69		180
42	1.0	15	15	0	0	6/8	1	1	1/4	1/4	1		-3	75		176
85/2	0.5	15	15	1/8	1/8	6/8	4	1	1/8	1/8	1		0	60		188
43	0.5	15	15	1/4	1/4	6/8	4	1	1/8	1/8	1		-5	61		189
43	0.5	15	15	1/4	1/4	6/8	3	1	1/8	1/8	1		-1	65		184
43	0.5	15	15	1/4	1/4	6/8	2	1	1/8	1/8	1		-4	68		181
43	0.5	15	15	1/4	1/4	6/8	1	1	1/8	1/8	1		-5	73		177
87/2	1.0	15	15	3/8	3/8	6/8	4	1	1/4	1/4	1		-5	61		190
87/2	1.0	15	15	3/8	3/8	6/8	3	1	1/4	1/4	1		-1	65		185
87/2	1.5	15	15	3/8	3/8	6/8	2	1	3/8	1/4	3/2		-4	68		182
87/2	1.0	15	15	3/8	3/8	6/8	1	1	1/4	1/4	1		-5	73		178
89/2	0.5	15	15	5/8	5/8	6/8	4	1	1/8	1/8	1		-3	63		191
89/2	0.5	15	15	5/8	5/8	6/8	3	1	1/8	1/8	1		-6	66		186
89/2	0.5	15	15	5/8	5/8	6/8	1	1	1/8	1/8	1		0	72		179
45	1.0	16	16	0	0	6/8	4	1	1/4	1/4	1		-3	63		202
45	1.0	16	16	0	0	6/8	3	1	1/4	1/4	1		-6	66		198
45	1.5	16	16	0	0	6/8	2	1	3/8	1/4	3/2		-4	68		196
45	1.0	16	16	0	0	6/8	1	1	1/4	1/4	1		0	72		192
46	0.5	16	16	1/4	1/4	6/8	4	1	1/8	1/8	1		-5	61		203
46	0.5	16	16	1/4	1/4	6/8	3	1	1/8	1/8	1		-1	65		199
46	0.5	16	16	1/4	1/4	6/8	1	1	1/8	1/8	1		-5	73		193
93/2	1.0	16	16	3/8	3/8	6/8	4	1	1/4	1/4	1		5	59		204
93/2	1.0	16	16	3/8	3/8	6/8	3	1	1/4	1/4	1		-1	65		200
93/2	1.5	16	16	3/8	3/8	6/8	2	1	3/8	1/4	3/2		-4	68		197
93/2	1.0	16	16	3/8	3/8	6/8	1	1	1/4	1/4	1		2	74		194
95/2	0.5	16	16	5/8	5/8	6/8	4	1	1/8	1/8	1		0	60		205
95/2	0.5	16	16	5/8	5/8	6/8	3	1	1/8	1/8	1		-3	63		201
95/2	0.5	16	16	5/8	5/8	6/8	1	1	1/8	1/8	1		-3	75		195
48	1.0	17	17	0	0	6/8	4	1	1/4	1/4	1		-2	58		220
48	0.5	17	17	0	0	6/8	3	1	1/8	1/8	1		-5	61		215
48	0.5	17	17	0	0	6/8	2	1	1/8	1/8	1		1	67		210
48	1.0	17	17	0	0	6/8	1	1	1/4	1/4	1		4	76		206
97/2	0.5	17	17	1/8	1/8	6/8	3	1	1/8	1/8	1		1	67		216
97/2	0.5	17	17	1/8	1/8	6/8	2	1	1/8	1/8	1		-5	73		211
49	0.5	17	17	1/4	1/4	6/8	4	1	1/8	1/8	1		3	57		221
49	0.5	17	17	1/4	1/4	6/8	3	1	1/8	1/8	1		3	69		217
49	0.5	17	17	1/4	1/4	6/8	2	1	1/8	1/8	1		0	72		212
49	0.5	17	17	1/4	1/4	6/8	1	1	1/8	1/8	1		-1	77		207
99/2	1.0	17	17	3/8	3/8	6/8	2	1	1/4	1/4	1		0	72		213
99/2	1.0	17	17	3/8	3/8	6/8	1	1	1/4	1/4	1		-1	77		208
50	0.5	17	17	1/2	1/2	6/8	4	1	1/8	1/8	1		-1	53		222
50	0.5	17	17	1/2	1/2	6/8	3	1	1/8	1/8	1		3	69		218
101/2	0.5	17	17	5/8	5/8	6/8	4	1	1/8	1/8	1		-2	58		223
101/2	0.5	17	17	5/8	5/8	6/8	3	1	1/8	1/8	1		-1	65		219
101/2	0.5	17	17	5/8	5/8	6/8	2	1	1/8	1/8	1		-2	70		214
101/2	0.5	17	17	5/8	5/8	6/8	1	1	1/8	1/8	1		2	74		209
51	1.0	18	18	0	0	6/8	4	1	1/4	1/4	1		-7	59		236
51	1.0	18	18	0	0	6/8	3	1	1/4	1/4	1		-3	63		232
51	1.0	18	18	0	0	6/8	2	1	1/4	1/4	1		-3	75		228
51	1.0	18	18	0	0	6/8	1	1	1/4	1/4	1		3	81		224
52	0.5	18	18	1/4	1/4	6/8	4	1	1/8	1/8	1		-2	58		237
52	0.5	18	18	1/4	1/4	6/8	3	1	1/8	1/8	1		-1	65		233
52	0.5	18	18	1/4	1/4	6/8	2	1	1/8	1/8	1		2	74		229
52	0.5	18	18	1/4	1/4	6/8	1	1	1/8	1/8	1		-2	82		225
105/2	1.0	18	18	3/8	3/8	6/8	1	1	1/4	1/4	1		-2	82		226
53	0.5	18	18	1/2	1/2	6/8	4	1	1/8	1/8	1		2	62		238
53	0.5	18	18	1/2	1/2	6/8	3	1	1/8	1/8	1		-1	65		234
53	0.5	18	18	1/2	1/2	6/8	2	1	1/8	1/8	1		-1	77		230
107/2	0.5	18	18	5/8	5/8	6/8	4	1	1/8	1/8	1		-3	63		239
107/2	0.5	18	18	5/8	5/8	6/8	3	1	1/8	1/8	1		-6	66		235
107/2	0.5	18	18	5/8	5/8	6/8	2	1	1/8	1/8	1		-2	70		231
107/2	0.5	18	18	5/8	5/8	6/8	1	1	1/8	1/8	1		-6	78		227
54	1.0	19	19	0	0	6/8	4	1	1/4	1/4	1		-5	61		252
54	1.0	19	19	0	0	6/8	3	1	1/4	1/4	1		-8	64		248
54	1.0	19	19	0	0	6/8	2	1	1/4	1/4	1		-2	70		244
54	1.0	19	19	0	0	6/8	1	1	1/4	1/4	1		1	79		240
55	0.5	19	19	1/4	1/4	6/8	4	1	1/8	1/8	1		0	60		253
55	0.5	19	19	1/4	1/4	6/8	3	1	1/8	1/8	1		-3	63		249
55	0.5	19	19	1/4	1/4	6/8	2	1	1/8	1/8	1		-4	68		245
55	0.5	19	19	1/4	1/4	6/8	1	1	1/8	1/8	1		-4	80		241
111/2	1.0	19	19	3/8	3/8	6/8	4	1	1/4	1/4	1		0	60		254
111/2	1.0	19	19	3/8	3/8	6/8	3	1	1/4	1/4	1		-3	75		250
111/2	1.0	19	19	3/8	3/8	6/8	2	1	1/4	1/4	1		-6	78		246
111/2	1.0	19	19	3/8	3/8	6/8	1	1	1/4	1/4	1	1	-4	80		242
113/2	0.5	19	19	5/8	5/8	6/8	4	1	1/8	1/8	1		-5	61		255
113/2	0.5	19	19	5/8	5/8	6/8	3	1	1/8	1/8	1		-5	73		251
113/2	0.5	19	19	5/8	5/8	6/8	2	1	1/8	1/8	1		-1	77		247
113/2	0.5	19	19	5/8	5/8	6/8	1	1	1/8	1/8	1	0	-4	80		243
57	1.5	20	20	0	0	6/8	1	1	3/8	1/4	3/2	0	-4	80		256
115/2	0.5	20	20	1/8	1/8	6/8	4	1	1/8	1/8	1		-4	68		267
115/2	0.5	20	20	1/8	1/8	6/8	3	1	1/8	1/8	1		-5	73		263
115/2	0.5	20	20	1/8	1/8	6/8	2	1	1/8	1/8	1		-1	77		259
58	0.5	20	20	1/4	1/4	6/8	4	1	1/8	1/8	1		-6	66		268
58	0.5	20	20	1/4	1/4	6/8	3	1	1/8	1/8	1		0	72		264
58	0.5	20	20	1/4	1/4	6/8	2	1	1/8	1/8	1		-3	75		260
117/2	0.5	20	20	3/8	3/8	6/8	4	1	1/8	1/8	1		-6	66		269
117/2	0.5	20	20	3/8	3/8	6/8	3	1	1/8	1/8	1		0	72		265
117/2	0.5	20	20	3/8	3/8	6/8	2	1	1/8	1/8	1		-3	75		261
117/2	1.0	20	20	3/8	3/8	6/8	1	1	1/4	1/4	1	-1	-4	80		257
59	1.0	20	20	1/2	1/2	6/8	4	1	1/4	1/4	1		-1	65		270
59	1.0	20	20	1/2	1/2	6/8	3	1	1/4	1/4	1		-4	68		266
59	1.0	20	20	1/2	1/2	6/8	2	1	1/4	1/4	1		-5	73		262
119/2	0.5	20	20	5/8	5/8	6/8	1	1	1/8	1/8	1		-5	85		258
60	1.5	21	21	0	0	6/8	3	1	3/8	1/4	3/2	1	-4	56		280
121/2	0.5	21	21	1/8	1/8	6/8	2	1	1/8	1/8	1		-5	61		275
121/2	0.5	21	21	1/8	1/8	6/8	4	1	1/8	1/8	1		-4	68		283
121/2	0.5	21	21	1/8	1/8	6/8	1	1	1/8	1/8	1		-1	77		271
61	0.5	21	21	1/4	1/4	6/8	2	1	1/8	1/8	1		0	60		276
61	0.5	21	21	1/4	1/4	6/8	4	1	1/8	1/8	1		-6	66		284
61	0.5	21	21	1/4	1/4	6/8	1	1	1/8	1/8	1		-3	75		272
123/2	1.0	21	21	3/8	3/8	6/8	3	1	1/4	1/4	1	-1	-4	56		281
123/2	0.5	21	21	3/8	3/8	6/8	2	1	1/8	1/8	1		0	60		277
123/2	0.5	21	21	3/8	3/8	6/8	4	1	1/8	1/8	1		-6	66		285
123/2	0.5	21	21	3/8	3/8	6/8	1	1	1/8	1/8	1		-3	75		273
62	0.5	21	21	1/2	1/2	6/8	2	1	1/8	1/8	1		-4	56		278
62	1.0	21	21	1/2	1/2	6/8	4	1	1/4	1/4	1		-1	65		286
62	1.0	21	21	1/2	1/2	6/8	1	1	1/4	1/4	1		-5	73		274
125/2	0.5	21	21	5/8	5/8	6/8	3	1	1/8	1/8	1		-5	61		282
125/2	0.5	21	21	5/8	5/8	6/8	2	1	1/8	1/8	1		-4	68		279
63	1.5	22	22	0	0	6/8	2	1	3/8	1/4	3/2	1	-4	56		290
63	1.5	22	22	0	0	6/8	1	1	3/8	1/4	3/2	1	-4	68		287
127/2	0.5	22	22	1/8	1/8	6/8	4	1	1/8	1/8	1		-1	41		298
127/2	0.5	22	22	1/8	1/8	6/8	3	1	1/8	1/8	1		-5	49		293
64	0.5	22	22	1/4	1/4	6/8	4	1	1/8	1/8	1		-3	39		299
64	0.5	22	22	1/4	1/4	6/8	3	1	1/8	1/8	1		-6	54		294
129/2	0.5	22	22	3/8	3/8	6/8	4	1	1/8	1/8	1		-3	39		300
129/2	0.5	22	22	3/8	3/8	6/8	3	1	1/8	1/8	1		-6	54		295
129/2	1.0	22	22	3/8	3/8	6/8	2	1	1/4	1/4	1	-1	-4	56		291
129/2	1.0	22	22	3/8	3/8	6/8	1	1	1/4	1/4	1	-1	-4	68		288
65	1.0	22	22	1/2	1/2	6/8	4	1	1/4	1/4	1		-5	37		301
65	0.5	22	22	1/2	1/2	6/8	3	1	1/8	1/8	1		-1	53		296
131/2	0.5	22	22	5/8	5/8	6/8	3	1	1/8	1/8	1		-8	52		297
131/2	0.5	22	22	5/8	5/8	6/8	2	1	1/8	1/8	1		-5	61		292
131/2	0.5	22	22	5/8	5/8	6/8	1	1	1/8	1/8	1		-5	73		289
66	1.0	23	23	0	0	6/8	4	1	1/4	1/4	1		7	37		314
66	1.0	23	23	0	0	6/8	3	1	1/4	1/4	1		4	52		310
66	1.0	23	23	0	0	6/8	2	1	1/4	1/4	1		8	56		306
66	1.0	23	23	0	0	6/8	1	1	1/4	1/4	1		7	61		302
269/4	0.25	23	23	5/16	5/16	6/8	4	1	1/16	1/16	1		7	37		315
269/4	0.25	23	23	5/16	5/16	6/8	3	1	1/16	1/16	1		4	52		311
269/4	0.25	23	23	5/16	5/16	6/8	2	1	1/16	1/16	1		8	56		307
269/4	0.25	23	23	5/16	5/16	6/8	1	1	1/16	1/16	1		7	61		303
135/2	1.0	23	23	3/8	3/8	6/8	4	1	1/4	1/4	1		9	39		316
135/2	1.0	23	23	3/8	3/8	6/8	3	1	1/4	1/4	1		6	54		312
135/2	1.0	23	23	3/8	3/8	6/8	2	1	1/4	1/4	1		8	56		308
135/2	1.0	23	23	3/8	3/8	6/8	1	1	1/4	1/4	1		12	60		304
275/4	0.25	23	23	11/16	11/16	6/8	4	1	1/16	1/16	1		9	39		317
